vote_id,member_id,position,country_code,ep_group,source
1,27,FOR,DNK,Group of the Greens/European Free Alliance,votewatch
1,316,AGAINST,DNK,Group of the Alliance of Liberals and Democrats for Europe,votewatch
1,321,DID_NOT_VOTE,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
1,396,DID_NOT_VOTE,DNK,Group of the Alliance of Liberals and Democrats for Europe,votewatch
1,550,DID_NOT_VOTE,DNK,Group of the Alliance of Liberals and Democrats for Europe,votewatch
1,576,FOR,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
1,672,FOR,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
1,846,DID_NOT_VOTE,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
1,849,DID_NOT_VOTE,DNK,Confederal Group of the European United Left - Nordic Green Left,votewatch
2,53,FOR,DNK,Group of the European People's Party (Christian Democrats),votewatch
2,116,FOR,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
2,316,FOR,DNK,Group of the Alliance of Liberals and Democrats for Europe,votewatch
2,321,FOR,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
2,396,DID_NOT_VOTE,DNK,Group of the Alliance of Liberals and Democrats for Europe,votewatch
2,446,FOR,DNK,Europe of freedom and democracy Group,votewatch
2,550,FOR,DNK,Group of the Alliance of Liberals and Democrats for Europe,votewatch
2,611,FOR,DNK,Confederal Group of the European United Left - Nordic Green Left,votewatch
2,672,FOR,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
2,846,DID_NOT_VOTE,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
2,849,DID_NOT_VOTE,DNK,Confederal Group of the European United Left - Nordic Green Left,votewatch
3,27,FOR,DNK,Group of the Greens/European Free Alliance,votewatch
3,53,FOR,DNK,Group of the European People's Party (Christian Democrats),votewatch
3,116,FOR,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
3,316,FOR,DNK,Group of the Alliance of Liberals and Democrats for Europe,votewatch
3,321,FOR,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
3,396,DID_NOT_VOTE,DNK,Group of the Alliance of Liberals and Democrats for Europe,votewatch
3,446,FOR,DNK,Europe of freedom and democracy Group,votewatch
3,550,FOR,DNK,Group of the Alliance of Liberals and Democrats for Europe,votewatch
3,555,FOR,DNK,European Conservatives and Reformists Group,votewatch
3,576,FOR,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
3,611,FOR,DNK,Confederal Group of the European United Left - Nordic Green Left,votewatch
3,672,FOR,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
3,846,DID_NOT_VOTE,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
3,849,DID_NOT_VOTE,DNK,Confederal Group of the European United Left - Nordic Green Left,votewatch
4,27,FOR,DNK,Group of the Greens/European Free Alliance,votewatch
4,53,FOR,DNK,Group of the European People's Party (Christian Democrats),votewatch
4,116,FOR,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
4,316,FOR,DNK,Group of the Alliance of Liberals and Democrats for Europe,votewatch
4,321,FOR,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
4,396,DID_NOT_VOTE,DNK,Group of the Alliance of Liberals and Democrats for Europe,votewatch
4,446,FOR,DNK,Europe of freedom and democracy Group,votewatch
4,550,FOR,DNK,Group of the Alliance of Liberals and Democrats for Europe,votewatch
4,555,FOR,DNK,European Conservatives and Reformists Group,votewatch
4,576,FOR,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
4,611,FOR,DNK,Confederal Group of the European United Left - Nordic Green Left,votewatch
4,672,FOR,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
4,846,DID_NOT_VOTE,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
4,849,DID_NOT_VOTE,DNK,Confederal Group of the European United Left - Nordic Green Left,votewatch
5,27,FOR,DNK,Group of the Greens/European Free Alliance,votewatch
5,53,FOR,DNK,Group of the European People's Party (Christian Democrats),votewatch
5,116,FOR,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
5,316,FOR,DNK,Group of the Alliance of Liberals and Democrats for Europe,votewatch
5,321,FOR,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
5,396,DID_NOT_VOTE,DNK,Group of the Alliance of Liberals and Democrats for Europe,votewatch
5,550,FOR,DNK,Group of the Alliance of Liberals and Democrats for Europe,votewatch
5,555,AGAINST,DNK,European Conservatives and Reformists Group,votewatch
5,576,FOR,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
