id,timestamp,display_title,procedure_reference,procedure_type,vote_type,voting_rule,source
1,2009-09-14 00:00:00+00:00,Election of the President of the European Commission after the Lisbon Treaty,,Non,Agenda setting,s,votewatch
2,2009-09-15 00:00:00+00:00,Agreement EC/Mongolia on certain aspects of air services,*,Leg,Legislative resolution,s,votewatch
3,2009-09-15 00:00:00+00:00,EC-China agreement: maritime transport operations; accession of Bulgaria and Romania ,*,Leg,Legislative resolution,s,votewatch
4,2009-09-15 00:00:00+00:00,Mobilisation of the European Globalisation Adjustment Fund,,Bud,Motions for a resolution,q,votewatch
5,2009-09-15 00:00:00+00:00,Mobilisation of the European Union Solidarity Fund,,Bud,Motions for a resolution,q,votewatch
6,2009-09-15 00:00:00+00:00,"Draft amending budget No 6/2009 on Draft amending budget No 6/2009 of the European Union for the financial year 2009, Section III – Commission",,Bud,Motions for a resolution,q,votewatch
7,2009-09-15 00:00:00+00:00,"Draft amending budget No 7/2009 on Draft amending budget No 7/2009 of the European Union for the financial year 2009 (Klaus storm in France)
",,Bud,Motions for a resolution,q,votewatch
8,2009-09-15 00:00:00+00:00,"Draft amending budget No 8/2009 
on Draft amending budget No 8/2009 of the European Union for the financial year 2009: Europol, Eurojust, OLAF",,Bud,Motions for a resolution,q,votewatch
9,2009-09-16 00:00:00+00:00,Motions for resolutions - Forest fires in Europe in the summer of 2009,,Non,Motions for a resolution,s,votewatch
10,2009-09-16 00:00:00+00:00,Motions for resolutions - Forest fires in Europe in the summer of 2009,,Non,Motions for a resolution,s,votewatch
11,2009-09-16 00:00:00+00:00,Motions for resolutions - Forest fires in Europe in the summer of 2009,,Non,Motions for a resolution,s,votewatch
12,2009-09-16 00:00:00+00:00,Motions for resolutions - Forest fires in Europe in the summer of 2009,,Non,Motions for a resolution,s,votewatch
13,2009-09-16 00:00:00+00:00,Motions for resolutions - Forest fires in Europe in the summer of 2009,,Non,Motions for a resolution,s,votewatch
14,2009-09-16 00:00:00+00:00,Motions for resolutions - Forest fires in Europe in the summer of 2009,,Non,Motions for a resolution,s,votewatch
15,2009-09-16 00:00:00+00:00,Motions for resolutions - Forest fires in Europe in the summer of 2009,,Non,Motions for a resolution,s,votewatch
16,2009-09-16 00:00:00+00:00,Motions for resolutions - Forest fires in Europe in the summer of 2009,,Non,Motions for a resolution,s,votewatch
17,2009-09-16 00:00:00+00:00,Motions for resolutions - Forest fires in Europe in the summer of 2009,,Non,Motions for a resolution,s,votewatch
18,2009-09-16 00:00:00+00:00,Motions for resolutions - Forest fires in Europe in the summer of 2009,,Non,Motions for a resolution,s,votewatch
19,2009-09-16 00:00:00+00:00,Motions for resolutions - Forest fires in Europe in the summer of 2009,,Non,Motions for a resolution,s,votewatch
20,2009-09-16 00:00:00+00:00,Motions for resolutions - Forest fires in Europe in the summer of 2009,,Non,Motions for a resolution,s,votewatch
21,2009-09-17 00:00:00+00:00,Report: Paolo De Castro -2009 and 2010 intervention periods for butter and skimmed milk powder,*,Leg,Legislative resolution,s,votewatch
22,2009-09-17 00:00:00+00:00,Report: Paolo De Castro-Common agricultural policy (CAP): support schemes for farmers,*,Leg,Legislative resolution,s,votewatch
23,2009-09-17 00:00:00+00:00,Motions for resolutions on the envisaged international agreement to make available to the United States Treasury Department financial payment messaging data to prevent and combat terrorism and terrorist financing (SWIFT),,Non,Motions for a resolution,s,votewatch
24,2009-09-17 00:00:00+00:00,Motions for resolutions on the envisaged international agreement to make available to the United States Treasury Department financial payment messaging data to prevent and combat terrorism and terrorist financing (SWIFT),,Non,Motions for a resolution,s,votewatch
25,2009-09-17 00:00:00+00:00,Motions for resolutions on the envisaged international agreement to make available to the United States Treasury Department financial payment messaging data to prevent and combat terrorism and terrorist financing (SWIFT),,Non,Motions for a resolution,s,votewatch
26,2009-09-17 00:00:00+00:00,Motion for a resolution-EC/Tajikistan Partnership and Cooperation Agreement,,Non,Motions for a resolution,s,votewatch
27,2009-09-17 00:00:00+00:00,Recommendation Alojz Peterle-Conclusion of a Partnership and Cooperation Agreement between the EC and the Republic of Tajikistan ,***,Leg,Legislative resolution,s,votewatch
28,2009-09-17 00:00:00+00:00,Motions for resolutions - Situation in Lithuania following the adoption of the law on protection of minors,,Non,Motions for a resolution,s,votewatch
29,2009-09-17 00:00:00+00:00,Motions for resolutions - Situation in Lithuania following the adoption of the law on protection of minors,,Non,Motions for a resolution,s,votewatch
30,2009-09-17 00:00:00+00:00,Motions for resolutions - Situation in Lithuania following the adoption of the law on protection of minors,,Non,Motions for a resolution,s,votewatch
31,2009-09-17 00:00:00+00:00,Motions for resolutions - Situation in Lithuania following the adoption of the law on protection of minors,,Non,Motions for a resolution,s,votewatch
32,2009-09-17 00:00:00+00:00,Motions for resolutions - Situation in Lithuania following the adoption of the law on protection of minors,,Non,Motions for a resolution,s,votewatch
33,2009-09-17 00:00:00+00:00,Motions for resolutions - Crisis in the dairy farming sector ,,Non,Joint Motions for a resolution,s,votewatch
34,2009-09-17 00:00:00+00:00,Motions for resolutions - Crisis in the dairy farming sector ,,Non,Joint Motions for a resolution,s,votewatch
35,2009-09-17 00:00:00+00:00,Motions for resolutions - Crisis in the dairy farming sector ,,Non,Joint Motions for a resolution,s,votewatch
36,2009-09-17 00:00:00+00:00,Motions for resolutions - Crisis in the dairy farming sector ,,Non,Joint Motions for a resolution,s,votewatch
37,2009-09-17 00:00:00+00:00,Motions for resolutions - Crisis in the dairy farming sector ,,Non,Joint Motions for a resolution,s,votewatch
38,2009-09-17 00:00:00+00:00,Motions for resolutions - Crisis in the dairy farming sector ,,Non,Joint Motions for a resolution,s,votewatch
39,2009-09-17 00:00:00+00:00,Motions for resolutions - Crisis in the dairy farming sector ,,Non,Joint Motions for a resolution,s,votewatch
40,2009-09-17 00:00:00+00:00,Motions for resolutions - Crisis in the dairy farming sector ,,Non,Joint Motions for a resolution,s,votewatch
41,2009-09-17 00:00:00+00:00,Motions for resolutions - Crisis in the dairy farming sector ,,Non,Joint Motions for a resolution,s,votewatch
42,2009-09-17 00:00:00+00:00,Motions for resolutions - Crisis in the dairy farming sector ,,Non,Joint Motions for a resolution,s,votewatch
43,2009-09-17 00:00:00+00:00,Motions for resolutions - Crisis in the dairy farming sector ,,Non,Joint Motions for a resolution,s,votewatch
44,2009-09-17 00:00:00+00:00,Motions for resolutions - Crisis in the dairy farming sector ,,Non,Joint Motions for a resolution,s,votewatch
45,2009-09-17 00:00:00+00:00,Motions for resolutions - Crisis in the dairy farming sector ,,Non,Joint Motions for a resolution,s,votewatch
46,2009-09-17 00:00:00+00:00,Motions for resolutions - Crisis in the dairy farming sector ,,Non,Joint Motions for a resolution,s,votewatch
47,2009-09-17 00:00:00+00:00,Motions for resolutions - Crisis in the dairy farming sector ,,Non,Joint Motions for a resolution,s,votewatch
48,2009-09-17 00:00:00+00:00,Motions for resolutions - Crisis in the dairy farming sector ,,Non,Joint Motions for a resolution,s,votewatch
49,2009-09-17 00:00:00+00:00,Motions for resolutions - Energy security (Nabucco and Desertec) ,,Non,Joint Motions for a resolution,s,votewatch
50,2009-09-17 00:00:00+00:00,Motions for resolutions - Energy security (Nabucco and Desertec) ,,Non,Joint Motions for a resolution,s,votewatch
