member_id,votewatch_mep_id,term,ep_group,national_party,start_date,end_date,source
28161,,8,Group of the Greens/European Free Alliance,Socialistisk Folkeparti,2014-07-01,2019-12-31,votewatch
96705,,8,Group of the European People's Party (Christian Democrats),Det Konservative Folkeparti,2014-07-01,2019-12-31,votewatch
28154,,8,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Socialdemokratiet,2014-07-01,2019-12-31,votewatch
124878,,8,European Conservatives and Reformists Group,Dansk Folkeparti,2014-07-01,2019-12-31,votewatch
122885,,8,Confederal Group of the European United Left - Nordic Green Left,Folkebevægelsen mod EU,2014-07-01,2019-12-31,votewatch
124876,,8,Non-attached Members,Independent,2014-07-01,2019-12-31,votewatch
124870,,8,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Socialdemokratiet,2014-07-01,2019-12-31,votewatch
96663,,8,European Conservatives and Reformists Group,Dansk Folkeparti,2014-07-01,2019-12-31,votewatch
124872,,8,Group of the Alliance of Liberals and Democrats for Europe,Det Radikale Venstre,2014-07-01,2019-12-31,votewatch
96710,,8,Group of the Alliance of Liberals and Democrats for Europe,Det Radikale Venstre,2014-07-01,2019-12-31,votewatch
37312,,8,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Socialdemokratiet,2014-07-01,2019-12-31,votewatch
124880,,8,,"Venstre, Danmarks Liberale Parti",2014-07-01,2016-02-29,votewatch
124875,,8,European Conservatives and Reformists Group,Dansk Folkeparti,2014-07-01,2019-12-31,votewatch
96709,,8,Group of the Alliance of Liberals and Democrats for Europe,"Venstre, Danmarks Liberale Parti",2016-03-03,2019-12-31,votewatch
