id,votewatch_mep_id,first_name,last_name,country_code,national_party,ep_group,source
28161,,Margrete,AUKEN,DNK,Socialistisk Folkeparti,Group of the Greens/European Free Alliance,votewatch
96705,,Bendt,BENDTSEN,DNK,Det Konservative Folkeparti,Group of the European People's Party (Christian Democrats),votewatch
28154,,Ole,CHRISTENSEN,DNK,Socialdemokratiet,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
124878,,Jørn,DOHRMANN,DNK,Dansk Folkeparti,European Conservatives and Reformists Group,votewatch
122885,,Rina Ronja,KARI,DNK,Folkebevægelsen mod EU,Confederal Group of the European United Left - Nordic Green Left,votewatch
124876,,Rikke-Louise,KARLSSON,DNK,Independent,Non-attached Members,votewatch
124870,,Jeppe,KOFOD,DNK,Socialdemokratiet,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
96663,,Morten,MESSERSCHMIDT,DNK,Dansk Folkeparti,European Conservatives and Reformists Group,votewatch
124872,,Morten Helveg,PETERSEN,DNK,Det Radikale Venstre,Group of the Alliance of Liberals and Democrats for Europe,votewatch
96710,,Jens,ROHDE,DNK,Det Radikale Venstre,Group of the Alliance of Liberals and Democrats for Europe,votewatch
37312,,Christel,SCHALDEMOSE,DNK,Socialdemokratiet,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
124880,,Ulla,TØRNÆS,DNK,"Venstre, Danmarks Liberale Parti",,votewatch
124875,,Anders Primdahl,VISTISEN,DNK,Dansk Folkeparti,European Conservatives and Reformists Group,votewatch
96709,,Morten,LØKKEGAARD,DNK,"Venstre, Danmarks Liberale Parti",Group of the Alliance of Liberals and Democrats for Europe,votewatch
