member_id,group_code,term,start_date,end_date,code,label,short_label
37312,SD,10,2024-07-16,,SD,Progressive Alliance of Socialists and Democrats,S&D
96709,RENEW,10,2024-07-16,,RENEW,Renew Europe,Renew
101585,SD,10,2024-07-16,,SD,Progressive Alliance of Socialists and Democrats,S&D
111412,GREEN_EFA,10,2024-07-16,,GREEN_EFA,Greens/European Free Alliance,Greens/EFA
124875,PFE,10,2024-07-16,2026-04-13,PFE,Patriots for Europe,PfE
197558,RENEW,10,2024-07-16,,RENEW,Renew Europe,Renew
197573,GREEN_EFA,10,2024-07-16,2024-11-12,GREEN_EFA,Greens/European Free Alliance,Greens/EFA
197573,GREEN_EFA,10,2024-11-13,,GREEN_EFA,Greens/European Free Alliance,Greens/EFA
199941,SD,10,2024-07-16,,SD,Progressive Alliance of Socialists and Democrats,S&D
257020,RENEW,10,2024-07-16,,RENEW,Renew Europe,Renew
257023,GUE_NGL,10,2024-07-16,2024-07-17,GUE_NGL,The Left in the European Parliament,The Left
257023,GUE_NGL,10,2024-07-18,,GUE_NGL,The Left in the European Parliament,The Left
257025,ECR,10,2024-07-16,,ECR,European Conservatives and Reformists,ECR
257028,EPP,10,2024-07-16,,EPP,European People’s Party,EPP
257033,EPP,10,2024-07-16,,EPP,European People’s Party,EPP
257038,RENEW,10,2024-07-16,,RENEW,Renew Europe,Renew
257044,GREEN_EFA,10,2024-07-16,,GREEN_EFA,Greens/European Free Alliance,Greens/EFA
277178,PFE,10,2026-04-16,,PFE,Patriots for Europe,PfE
