Unnamed: 0,typeid_x,afstemningid,aktørid,party,dato
316519,2,1333,184,Socialdemokratiet,2010-11-18 10:00:00
316520,2,1333,121,Socialistisk Folkeparti,2010-11-18 10:00:00
316521,1,1333,216,Dansk Folkeparti,2010-11-18 10:00:00
316522,2,1333,654,Radikale Venstre,2010-11-18 10:00:00
316523,2,1333,43,Socialistisk Folkeparti,2010-11-18 10:00:00
316524,1,1333,34,Danmarksdemokraterne,2010-11-18 10:00:00
316525,2,1333,1385,Socialistisk Folkeparti,2010-11-18 10:00:00
316526,2,1333,197,Socialdemokratiet,2010-11-18 10:00:00
316527,2,1333,3092,Socialdemokratiet,2010-11-18 10:00:00
316528,1,1333,265,Venstre,2010-11-18 10:00:00
316529,1,1333,1146,Danmarksdemokraterne,2010-11-18 10:00:00
316530,2,1333,246,Socialdemokratiet,2010-11-18 10:00:00
316531,1,1333,1371,Dansk Folkeparti,2010-11-18 10:00:00
316532,2,1333,205,Socialistisk Folkeparti,2010-11-18 10:00:00
316533,2,1333,171,Enhedslisten,2010-11-18 10:00:00
316534,1,1333,124,Dansk Folkeparti,2010-11-18 10:00:00
316535,1,1333,3084,Venstre,2010-11-18 10:00:00
316536,1,1333,98,Dansk Folkeparti,2010-11-18 10:00:00
316537,1,1333,303,Dansk Folkeparti,2010-11-18 10:00:00
316538,2,1333,198,Socialistisk Folkeparti,2010-11-18 10:00:00
316539,1,1333,183,Danmarksdemokraterne,2010-11-18 10:00:00
316540,1,1333,3082,Dansk Folkeparti,2010-11-18 10:00:00
316541,1,1333,1755,Dansk Folkeparti,2010-11-18 10:00:00
316542,2,1333,1502,Socialistisk Folkeparti,2010-11-18 10:00:00
316543,1,1333,49,Venstre,2010-11-18 10:00:00
316544,1,1333,50,Uden for folketingsgrupperne,2010-11-18 10:00:00
316545,1,1333,71,Det Konservative Folkeparti,2010-11-18 10:00:00
316546,2,1333,856,Enhedslisten,2010-11-18 10:00:00
316547,2,1333,152,Socialdemokratiet,2010-11-18 10:00:00
316548,2,1333,17,Socialdemokratiet,2010-11-18 10:00:00
316549,2,1333,351,Socialdemokratiet,2010-11-18 10:00:00
316550,2,1333,158,Socialistisk Folkeparti,2010-11-18 10:00:00
316551,2,1333,5182,Radikale Venstre,2010-11-18 10:00:00
316552,2,1333,117,Uden for folketingsgrupperne,2010-11-18 10:00:00
316553,2,1333,1619,Socialdemokratiet,2010-11-18 10:00:00
316554,1,1333,221,Dansk Folkeparti,2010-11-18 10:00:00
316555,2,1333,244,Socialdemokratiet,2010-11-18 10:00:00
316556,1,1333,1410,Venstre,2010-11-18 10:00:00
316557,2,1333,1880,Socialdemokratiet,2010-11-18 10:00:00
316558,2,1333,3085,Socialdemokratiet,2010-11-18 10:00:00
316559,1,1333,1951,Venstre,2010-11-18 10:00:00
316560,1,1333,665,Det Konservative Folkeparti,2010-11-18 10:00:00
316561,2,1333,33,Socialistisk Folkeparti,2010-11-18 10:00:00
316562,1,1333,193,Venstre,2010-11-18 10:00:00
316563,1,1333,56,Dansk Folkeparti,2010-11-18 10:00:00
316564,2,1333,297,Socialdemokratiet,2010-11-18 10:00:00
316565,1,1333,80,Venstre,2010-11-18 10:00:00
316566,1,1333,3090,Dansk Folkeparti,2010-11-18 10:00:00
316567,1,1333,4956,Dansk Folkeparti,2010-11-18 10:00:00
316568,2,1333,4969,Radikale Venstre,2010-11-18 10:00:00
316569,2,1333,1358,Socialdemokratiet,2010-11-18 10:00:00
316570,1,1333,725,Venstre,2010-11-18 10:00:00
316571,1,1333,81,Venstre,2010-11-18 10:00:00
316572,1,1333,1357,Venstre,2010-11-18 10:00:00
316573,2,1333,653,Socialdemokratiet,2010-11-18 10:00:00
316574,1,1333,1299,Det Konservative Folkeparti,2010-11-18 10:00:00
316575,1,1333,82,Danmarksdemokraterne,2010-11-18 10:00:00
316576,2,1333,187,Socialdemokratiet,2010-11-18 10:00:00
316577,2,1333,226,Socialdemokratiet,2010-11-18 10:00:00
316578,1,1333,179,Venstre,2010-11-18 10:00:00
316579,1,1333,296,Venstre,2010-11-18 10:00:00
316580,2,1333,1822,Socialdemokratiet,2010-11-18 10:00:00
316581,1,1333,212,Venstre,2010-11-18 10:00:00
316582,1,1333,1749,Venstre,2010-11-18 10:00:00
316583,1,1333,1090,Venstre,2010-11-18 10:00:00
316584,1,1333,350,Venstre,2010-11-18 10:00:00
