afstemningid,sag_titel,sag_titel_en,dato
2,Forslag til lov om ændring af virksomhedsskatteloven og kildeskatteloven. (Indgreb mod utilsigtet udnyttelse af virksomhedsordningen ved indskud af privat gæld m.v.).,"Proposal for a law amending the Corporate Tax Act and the Law on withholding tax. (Action against unintended exploitation of the corporate scheme by private debt deposits, etc.).",2014-09-09 09:15:00
1783,"Forslag til lov om ændring af lov om afgift af elektricitet, lov om afgift af stenkul, brunkul og koks m.v., personskatteloven og forskellige andre love. (Tilbagerulning af forsyningssikkerhedsafgiften, nedsættelse af elvarmeafgiften, forhøjelse af elafgiften, tilpasning af afgiftsregler for VE-brændsler, forhøjelse af bundskatten og det skrå skatteloft, nedsættelse af den grønne check og afgiftsforhøjelse på cigarillos m.v.).","Proposal for a law amending the Law on the tax of electricity, the Law on the tax of coal, lignite and coke, the Act on the tax of persons and various other laws (Rewinding of the security of supply tax, reduction of the electricity tax, increase of the electricity tax, adjustment of the tax rules on renewable fuels, increase of the base tax and the slanted tax ceiling, reduction of the green cheque and increase of the tax on cigarillos, etc.).",2014-10-31 10:00:00
2267,Forslag til lov om ændring af lov om produktionsskoler. (Ophævelse af revisionsbestemmelse m.v.).,Proposal for a law amending the Law on Production Schools.,2014-12-02 13:00:00
2268,Forslag til lov om dansk turisme.,Draft law on Danish tourism.,2014-12-02 13:00:00
2282,Forslag til lov om ændring af lov om aktiv socialpolitik. (Ændring af formue- og fradragsregler ved efterbetaling af offentlige forsørgelsesydelser og øvrige offentlige sociale ydelser m.v.).,"Proposal for a law amending the Act on Active Social Policy (change of property and deduction rules for post-payment of public and other public social benefits, etc.).",2014-12-04 10:00:00
2283,Forslag til lov om ændring af lov om ferie. (Færre betingelser for optjening af sygeferiegodtgørelse og fællesopkrævning fra arbejdsgivere for betalingen til Feriepengeinfo m.v.).,"Proposal for a law amending the law on holidays. (Further conditions for earning sick leave and joint collection from employers for payment to Holiday Money Info, etc.).",2014-12-04 10:00:00
2284,Forslag til lov om ændring af lov om vikarers retsstilling ved udsendelse af et vikarbureau m.v. og lov om Arbejdsretten og faglige voldgiftsretter. (Overførsel af kompetencer til Arbejdsretten).,"Proposal for a law amending the law on the status of temporary workers in the event of the posting of a temporary employment agency, etc. and the Law on Labour Law and Trade Arbitration Courts. (Transfer of competences to Labour Law).",2014-12-04 10:00:00
2285,Forslag til lov om ophævelse af lov om næringsbrev til visse fødevarevirksomheder og om ændring af lov om restaurationsvirksomhed og alkoholbevilling m.v. (Afskaffelse af næringsbrevsordningen).,"Proposal for a law repealing the law on nutrition to certain food businesses and amending the law on catering and alcoholic beverages, etc. (Department of the Newsletter system).",2014-12-04 10:00:00
2286,"Forslag til lov om ændring af konkurrenceloven. (Forlængelse af tidsfrist for behandling af fusioner, nedsættelse af en bestyrelse for Konkurrence- og Forbrugerstyrelsen på konkurrenceområdet, offentliggørelse af domme om fængselsstraf m.v.).","Proposal for a law amending the Competition Act. (Extension of time limit for dealing with mergers, setting up a Board of Competition and Consumer Protection in the field of competition, publication of sentences on prison sentences, etc.).",2014-12-04 10:00:00
2287,Forslag til lov om Danmarks Grønne Investeringsfond.,Draft law on the Danish Green Investment Fund.,2014-12-04 10:00:00
2288,Forslag til lov om medarbejderinvesteringsselskaber.,Draft law on employee investment companies.,2014-12-04 10:00:00
2289,"Forslag til lov om ændring af aktieavancebeskatningsloven, ligningsloven, selskabsskatteloven og forskellige andre love. (Skattemæssige ændringer i lyset af lov om medarbejderinvesteringsselskaber).","Draft law amending the Share Advance Tax Act, the Equalisation Act, the Corporate Tax Act and various other laws. (Tax changes in the light of the Labour Investment Companies Act).",2014-12-04 10:00:00
2291,"Forslag til lov om ændring af ligningsloven, fondsbeskatningsloven, lov om inddrivelse af gæld til det offentlige, lov om et indkomstregister og forskellige andre love. (Udvidelse af kredsen af yderkommuner med forhøjet befordringsfradrag, forhøjelse af kommunernes andel af selskabsskatten og udvidet mulighed for videregivelse af oplysninger til finansielle virksomheder).","Draft law amending the law on equations, the fund tax law, the law on the recovery of debts to the public, the law on an income register and various other laws.",2014-12-04 10:00:00
2292,Forslag til lov om indgåelse af protokol om ændring af dobbeltbeskatningsoverenskomsten mellem Danmark og Irland.,Proposal for a law on the conclusion of the Protocol amending the double taxation agreement between Denmark and Ireland.,2014-12-09 13:00:00
2293,Forslag til lov om indgåelse af protokol om ændring af dobbeltbeskatningsoverenskomsten mellem Danmark og Indien.,Proposal for a law on the conclusion of the Protocol amending the double taxation agreement between Denmark and India.,2014-12-09 13:00:00
2294,"Forslag til lov om ændring af momsloven, skattekontrolloven og ligningsloven. (Udvidelse af indberetningspligterne vedrørende finansielle produkter, ændring af indberetningspligten vedrørende modtagere af renter og afgivelse af regnskabsoplysninger om moms i forbindelse med selvangivelsen m.v.).","Proposal for a law amending the VAT law, the tax control law and the law on equations. (Enlargement of reporting obligations on financial products, amendment of reporting obligations on recipients of interest and provision of accounting information on VAT in connection with the tax return, etc.).",2014-12-09 13:00:00
2295,Forslag til lov om Hav- og Fiskerifonden.,Proposal for a Law on the Maritime and Fisheries Fund.,2014-12-09 13:00:00
2296,Forslag til lov om Landdistriktsfonden.,Draft law on the Rural Fund.,2014-12-09 13:00:00
2306,Forslag til lov om ændring af lov om frikommuner m.v. (Forlængelse af perioden for frikommuneforsøg).,"Draft law amending the law on free municipalities, etc.",2014-12-11 10:00:00
2307,"Forslag til lov om ændring af lov om landbrugsejendomme. (Udvidet adgang for selskaber m.v. til at erhverve landbrugsejendomme, ophævelse af reglerne om fortrinsstilling til suppleringsjord m.v.).","Proposal for a law amending the Law on agricultural property. (Enlarged access for companies, etc. to acquire agricultural property, repealing the rules on preference for supplementary land, etc.).",2014-12-11 10:00:00
2308,Forslag til lov om ændring af lov om åben uddannelse (erhvervsrettet voksenuddannelse) m.v. og lov om erhvervsrettet grunduddannelse og videregående uddannelse (videreuddannelsessystemet) for voksne. (Understøttelse af de videregående uddannelsesinstitutioners muligheder for mere og bedre videregående voksen- og efteruddannelse m.v.).,"Proposal for a law amending the law on open education (vocational adult education) etc. and the law on basic and higher education (continuing education) for adults. (Supporting the opportunities of higher education institutions for more and better further adult and further education, etc.).",2014-12-11 10:00:00
2309,"Forslag til lov om ændring af universitetsloven og forskellige andre love. (Gennemsigtighed i valg af uddannelse, forsikring af gæsteforskere, krav til oversættelse af eksamensbeviser og midlertidig overgangsordning om supplering mellem bacheloruddannelse og kandidatuddannelse).","Proposal for a law amending the University Law and various other laws. (Privacy in the choice of education, insurance of visiting researchers, requirements for the translation of diplomas and temporary transitional arrangements for supplementing bachelor's degree and Master's degree).",2014-12-11 10:00:00
2310,Forslag til lov om videregående kunstneriske uddannelsesinstitutioner under Kulturministeriet.,Draft law on higher artistic education institutions under the Ministry of Culture.,2014-12-11 10:00:00
2312,Forslag til lov om ændring af lov om byfornyelse og udvikling af byer. (Øgede muligheder for at sikre gode boligsociale rammer både på land og i by m.v.).,Proposal for a law amending the law on urban renewal and development of cities. (Increased opportunities to ensure a good housing social framework both on land and in city etc.).,2014-12-11 10:00:00
2313,Forslag til lov om ændring af lov om andelsboligforeninger og andre boligfællesskaber og lejeloven. (Skærpede krav til stiftelse af andelsboligforeninger m.v.).,Draft law amending the law on cooperative housing associations and other housing communities and the law on rentals.,2014-12-11 10:00:00
2314,Forslag til lov om ændring af lov om jagt og vildtforvaltning. (Styrkelse af vildtudbytteindberetning m.v.).,"Draft law amending the law on hunting and game management. (Strengthening of game yield reporting, etc.).",2014-12-11 10:00:00
2398,Forslag til finanslov for finansåret 2015.,Draft Finance Act for the financial year 2015.,2014-12-18 10:00:00
2399,"Forslag til lov om fastsættelse af udgiftslofter for stat, kommuner og regioner for finansåret 2018.","Draft law on the establishment of expenditure ceilings for state, municipalities and regions for the financial year 2018.",2014-12-18 10:00:00
2400,"Forslag til lov om ændring af lov om fastsættelse af udgiftslofter for stat, kommuner og regioner for finansårene 2014-2017. (Konsekvenser af aftaler om vækstpakke 2014 m.v.).","Proposal for a law amending the Law on the establishment of expenditure ceilings for state, municipalities and regions for the financial years 2014-2017. (Consequences of agreements on growth package 2014 etc.).",2014-12-18 10:00:00
2401,"Forslag til lov om ændring af lov om en aktiv beskæftigelsesindsats, lov om arbejdsløshedsforsikring m.v. og forskellige andre love. (Reform af beskæftigelsesindsatsen, et fælles og intensiveret kontaktforløb, uddannelsesløft, styrket rådighed og målretning af virksomhedsrettede tilbud m.v.).","Proposal for a law amending the Act on Active Employment, the Law on Unemployment Insurance, etc., and various other laws (Reform of employment efforts, a joint and intensified contact process, training boosts, increased availability and targeting of business-oriented offers, etc.).",2014-12-18 10:00:00
2402,"Forslag til lov om ændring af lov om en aktiv beskæftigelsesindsats og lov om aktiv socialpolitik. (Joblog, sanktion ved udeblivelse fra tilbud samt 6 ugers jobrettet uddannelse for modtagere af ledighedsydelse).",Proposal for a law amending the Act on Active Employment and the Act on Active Social Policy.,2014-12-18 10:00:00
2403,Forslag til lov om organisering og understøttelse af beskæftigelsesindsatsen m.v.,"Draft law on the organisation and support of employment, etc.",2014-12-18 10:00:00
2404,Forslag til lov om ændring af lov om forbud mod forskelsbehandling på arbejdsmarkedet m.v. (Ophævelse af 70-årsgrænse m.v.).,"Proposal for a law amending the law prohibiting discrimination on the labour market, etc. (Completion of the 70-year limit, etc.).",2014-12-18 10:00:00
2405,"Forslag til lov om ændring af udlændingeloven, integrationsloven og lov om Det Centrale Personregister. (Reform af international rekruttering m.v.).","Draft law amending the Aliens Act, the Integration Act and the Central Personal Register Act. (Reform of international recruitment, etc.).",2014-12-18 10:00:00
2406,Forslag til lov om ændring af lov om CO2-kvoter og lov om kuldioxidafgift af visse energiprodukter. (Tilpasning af reglerne om udledninger fra luftfart efter Europa-Parlamentets og Rådets forordning (EU) nr. 421/2014 af 16. april 2014 m.v.).,Proposal for a law amending the law on CO2 allowances and the law on carbon dioxide tax for certain energy products. (Adjusting the rules on aviation emissions pursuant to Regulation (EU) No 421/2014 of the European Parliament and of the Council of 16 April 2014 etc.).,2014-12-18 10:00:00
2407,"Forslag til lov om ændring af lov om elforsyning, lov om naturgasforsyning, lov om varmeforsyning, lov om tilskud til fremme af vedvarende energi i virksomheders produktionsprocesser, biobrændstofloven og lov om fremme af besparelser i energiforbruget. (Erhvervsrettet lempelse af PSO-betaling for elektricitet, afskaffelse af tilskudsordning til ikkekvoteomfattet elproduktion, afskaffelse af PSO-betaling for gas, fravigelse af iblandingsprocent for biobrændstoffer, faktureringsoplysninger m.v. til energiforbrugere, ændring af klageregler m.v.).","Draft law amending the law on electricity supply, the Act on natural gas supply, the Law on heating supply, the Law on subsidies for the promotion of renewable energy in the production processes of enterprises, the Biofuel Act and the Law on the promotion of energy saving. (Employee relief of PSO electricity payments, the abolition of subsidies for non-quota electricity generation, the abolition of the PSO payment for gas, the derogation from the incorporation rate for biofuels, billing information, etc. for energy consumers, amendment of complaint rules, etc.).",2014-12-18 10:00:00
2408,"Forslag til lov om ændring af lov om sikkerhed m.v. for offshoreanlæg til efterforskning, produktion og transport af kulbrinter, lov om beskyttelse af havmiljøet og miljøskadeloven. (Gennemførelse af offshoresikkerhedsdirektivet m.v.).","Proposal for a law amending the Law on safety, etc. for offshore installations for the exploration, production and transport of hydrocarbons, the Law on the Protection of the Marine Environment and the Environmental Damage Act. (Implementation of the offshore safety directive, etc.).",2014-12-18 10:00:00
2409,Forslag til lov om en ny fjordforbindelse ved Frederikssund.,Draft law on a new fjord connection at Frederikssund.,2014-12-18 10:00:00
2410,"Forslag til lov om ændring af lov om finansiel virksomhed, lov om værdipapirhandel m.v., lov om betalingstjenester og elektroniske penge og forskellige andre love. (Erstatningsansvar ved handlinger i strid med god skik-reglerne, forbrugerbeskyttelse ved kaution, krav om grundkursus til bestyrelsesmedlemmer, brugerbeskyttelse ved udbud af betalingstjenester og udstedelse af elektroniske penge m.v.).","Proposal for a law amending the Law on Financial Activities, the Securities Trading Act, the Payment Services and Electronic Money Act and various other laws. (Compliance in the event of acts contrary to good practice, consumer protection by guarantee, requirements for basic training for board members, user protection in the provision of payment services and the issuance of electronic money, etc.).",2014-12-18 10:00:00
2411,"Forslag til lov om ændring af lov om efterskoler, husholdningsskoler og håndarbejdsskoler og forskellige andre love. (Fornyelse af frie fagskolers undervisningstilbud m.v.).","Proposal for a law amending the law on secondary schools, home schools and hand-working schools and various other laws. (Renewation of the educational provision of free vocational schools etc.).",2014-12-18 10:00:00
2412,Forslag til lov om ændring af lov om Arbejdsgivernes Uddannelsesbidrag. (Finansiering af elevers ophold på kostafdelinger m.v.).,Proposal for a law amending the Law on Employers' Educational Contributions.,2014-12-18 10:00:00
2413,"Forslag til lov om ændring af lov om indgåelse af protokoller om ændring af dobbeltbeskatningsoverenskomster mellem Danmark og henholdsvis Belgien, Luxembourg, Singapore og Østrig. (Gennemførelse af protokol til ændring af dobbeltbeskatningsoverenskomsten mellem Danmark og Luxembourg).","Proposal for a law amending the Law on the conclusion of protocols amending the double taxation agreements between Denmark and Belgium, Luxembourg, Singapore and Austria respectively (Implementation of the Protocol amending the Convention on double taxation between Denmark and Luxembourg).",2014-12-18 10:00:00
2414,Forslag til lov om indgåelse af dobbeltbeskatningsoverenskomst mellem Danmark og Ghana.,Proposal for a law on the conclusion of a double taxation agreement between Denmark and Ghana.,2014-12-18 10:00:00
2415,"Forslag til lov om ændring af skatteforvaltningsloven, opkrævningsloven og forskellige andre love. (Hurtig afslutning i visse klagesager, omkostningsgodtgørelse i retssager, dækningsrækkefølgen for underholdsbidrag, restanceforebyggelse, momsregistrering af visse virksomheder, forbedret inddrivelse af restancer til det offentlige m.v.).","Proposal for a law amending the Tax Administration Act, the Collection Act and various other laws. (Fast closure in certain appeals, cost compensation in legal proceedings, maintenance order, arrears prevention, VAT registration of certain companies, improved recovery of arrears to the public, etc.).",2014-12-18 10:00:00
2416,Forslag til lov om ændring af ligningsloven. (Betingelse for tredjemandstilskud).,Draft law amending the law on equations.,2014-12-18 10:00:00
2417,Forslag til lov om ændring af momsloven. (Ophævelse af fradragsbegrænsningen for moms på hotelophold).,Proposal for a law amending the VAT Act.,2014-12-18 10:00:00
2418,"Forslag til lov om ændring af registreringsafgiftsloven, brændstofforbrugsafgiftsloven og lov om vægtafgift af motorkøretøjer m.v. (Harmonisering af afgifterne på personbiler  med tilladelse til erhvervsmæssig persontransport).","Proposal for a law amending the Registration Tax Act, the Fuel Consumption Tax Act and the Weighting Tax Act for Motor Vehicles, etc. (Harmonisation of taxes on passenger cars authorised for commercial passenger transport).",2014-12-18 10:00:00
2419,Forslag til lov om ændring af kildeskatteloven. (Nedsættelse af vederlagskravet i skatteordningen for udenlandske forskere og nøglemedarbejdere).,Proposal for a law amending the Law on withholding tax. (Reduction of the remuneration requirement in the tax scheme for foreign researchers and key employees).,2014-12-18 10:00:00
2420,Forslag til lov om ændring af lov om dansk indfødsret. (Accept af dobbelt statsborgerskab og betaling af gebyr i sager om dansk indfødsret).,Draft law amending the law on Danish citizenship. (Accept of dual citizenship and payment of fees in cases of Danish citizenship).,2014-12-18 10:00:00
2421,Forslag til lov om indfødsrets meddelelse.,Draft law on the notification of citizenship.,2014-12-18 10:00:00
2422,"Forslag til lov om ændring af lov for Færøerne om rettens pleje og lov om ændring af tinglysningsloven, konkursloven og andre love. (Indførelse af virksomhedspant på Færøerne).","Proposal for a law amending the Law of the Faroe Islands on the care of the courts and the Law amending the Law of the Land Register, the Law of bankruptcy and other laws. (Introduction of company pledges in the Faroe Islands).",2014-12-18 10:00:00
2423,Forslag til lov om ændring af lov om erstatningsansvar. (Ændring af beregningsprincipperne for erhvervsevnetabserstatning til unge under uddannelse).,Proposal for a law amending the law on liability (Amendment of the principles of calculation of occupational loss compensation for young people undergoing training).,2014-12-18 10:00:00
2424,Forslag til lov om ændring af færdselsloven. (Letbaner).,Proposal for a law amending the Road Traffic Code. (Light runways).,2014-12-18 10:00:00
2425,Forslag til lov om ændring af færdselsloven. (Konstruktivt bestemt hastighed for motorredskaber m.v.).,"Proposal for a law amending the Road Traffic Code. (Constructively determined speed of engine tools, etc.).",2014-12-18 10:00:00
