question,election,rank,similarity,sagid,sag_nummer,sag_titel,sag_resume,relevance,notes
Den danske krone skal erstattes med euroen,FV11,1,0.83922184,91710,L 150,Forslag til lov om restriktioner på transaktioner med kontanter og værdipapirer i danske kroner til Rusland og Belarus.,"Lovforslaget indfører restriktioner på salg af kontanter og værdipapirer i danske kroner svarende til de europæiske sanktioner, der er vedtaget for så vidt angår transaktioner i pengesedler og værdipapirer i euro til Rusland eller Belarus.

Forslaget indfører et forbud mod at sælge, levere, overføre eller eksportere pengesedler og mønter i danske kroner til russiske og belarussiske statsborgere eller fysiske personer, der er bosiddende i Rusland eller Belarus, eller juridiske personer, enheder eller organer, der er hjemmehørende i Rusland eller Belarus. Det bliver endvidere forbudt at sælge omsættelige værdipapirer i danske kroner, der er udstedt efter den 12. april 2022, eller andele i institutter for kollektiv investering, der leverer eksponering mod sådanne værdipapirer, til russiske eller belarussiske statsborgere eller fysiske personer, der er bosiddende i Rusland eller Belarus, eller juridiske personer, enheder eller organer, der er hjemmehørende i Rusland eller Belarus. 

Overtrædelse af forbuddene kan sanktioneres med bøde eller fængsel indtil 4 måneder eller under særligt skærpende omstændigheder med fængsel indtil 4 år.

Loven træder i kraft ved bekendtgørelsen i Lovtidende.

Loven ophæves pr. 1. april 2023, dvs., at restriktionerne i loven automatisk ophæves pr. denne dato, med mindre Folketinget inden beslutter at forlænge reglernes gyldighedsperiode.
",,
Den danske krone skal erstattes med euroen,FV11,2,0.83825386,76208,L 225,"Forslag til lov om ændring af lov om danskuddannelse til voksne udlændinge m.fl. (Indførelse af deltagerbetaling for danskuddannelse til udenlandske arbejdstagere, studerende m.v.).","Lovforslaget indfører deltagerbetaling for danskuddannelse for de såkaldte S-kursister, dvs. udenlandske arbejdstagere, EU-borgere, studerende m.fl. Deltagerbetalingen fastsættes til 2.000 kr. pr. modul. Lovforslaget bemyndiger udlændinge- og integrationsministeren til at fastsætte de nærmere regler om opkrævning og administration af deltagerbetalingen.

Herudover udvider lovforslaget definitionen af S-kursister til også at omfatte ægtefæller og faste samlevende til udlændinge, der har været ansat ved en herværende international organisation m.v., som ved pensionering meddeles opholdstilladelse i Danmark.

Lovforslaget er del i udmøntningen af aftalen mellem regeringen (Venstre, Liberal Alliance og Konservative Folkeparti)og Dansk Folkeparti den 6. februar 2018 ""Aftale om lavere skat på arbejdsindkomst og større fradrag for pensionsindbetalinger"". ",,
Den danske krone skal erstattes med euroen,FV11,3,0.8380162,79567,L 151 A,"Forslag til lov om ændring af udlændingeloven. (Ny landespecifik beløbsordning, udvidelse af positivlisten, afskaffelse af kravet om dansk bankkonto, nedsættelse af antallet af ansatte som betingelse for virksomhedscertificering og et ensrettet og lavere selvforsørgelseskrav).","Formålet med delingen af lovforslaget er at samle de dele af det oprindelige forslag fra regeringens udspil »Styrket rekruttering af udenlandsk arbejdskraft« af 3. oktober 2018, som ikke har kunnet finde opbakning fra et bredt flertal i løbet af udvalgsarbejdet. 

Lovforslaget introducerer en ændring af beløbsordningen, hvor beløbsgrænsen sættes til 350.000 kr. for arbejdstagere fra de 30 tredjelande, der har de største investeringer i og fra Danmark. Beløbsgrænsen udgør i dag godt 425.000 kr. 

Derudover ønsker regeringen at udvide positivlisten både nationalt og regionalt. Positivlisten er en oversigt over erhverv, hvor der er mangel på arbejdskraft. Derudover ønsker regeringen at afskaffe kravet om, at løn op til og med beløbsgrænsen på beløbsordningen skal udbetales til en dansk bankkonto. ",,
Den danske krone skal erstattes med euroen,FV11,4,0.8364856,98276,L 169,Forslag til lov om ændring af lov om betalinger. (Midlertidig lempelse af kontantreglen).,"Lovforslaget har til formål at gøre det midlertidigt frivilligt for betalingsmodtagere at modtage 1.000-kronesedler som betaling, hvis kontantbetalingen overstiger købesummen med mere end 500 kr. 

Formålet er at imødekomme de problemer, som hyppige betalinger med 1.000-kronesedler kan give detailhandlen, i anledning af at 1.000-kronesedlen er blevet indkaldt.

Lovforslaget muliggør fortsat køb af varer med 1.000-kronesedler. Men betalingsmodtageren vil kunne afvise betaling fra kunder, der ønsker at benytte en 1.000-kroneseddel til mindre køb op til 500 kr., der reelt kan have karakter af en veksling af sedler.

Det foreslås, at loven træder i kraft dagen efter bekendtgørelse i Lovtidende.",,
Den danske krone skal erstattes med euroen,FV11,5,0.8337351,82417,L 137,"Forslag til lov om ændring af momsloven, kildeskatteloven, skatteindberetningsloven og lov om afgifter af spil. (Modernisering af momsreglerne for grænseoverskridende handel med varer og ydelser solgt til forbrugere i EU, digitale salgsregistreringssystemer, håndtering af A-skat m.v. i forbindelse med udbetaling fra feriegarantiordninger m.v. og udskydelse af ikrafttrædelsestidspunktet for den digitale logbog m.v.).","Lovforslaget indeholder flere elementer, herunder ændringer af momslovens regler i relation til e-handel med varer og ydelser, hvilket skal sikre, at danske virksomheder kan konkurrere på lige vilkår med udenlandske virksomheder om den øgede e-handel.

Forslaget forventes at ville reducere omfanget af fejl og svig, særligt i forbindelse med indførelse af varer med lav værdi fra lande uden for EU. Derudover medfører forslaget øget forbrugslandsbeskatning.

Den gældende momsfritagelse på 80 kr. for køb af varer med lav værdi fra steder uden for EU foreslås ophævet. Det foreslås samtidig, at udbydere af platforme m.v. får større ansvar for afregning af moms af varer solgt gennem deres platforme m.v., som indføres i EU.

Det foreslås videre, at EU-landenes nuværende forskellige nationale fjernsalgsgrænser for varer, under hvilke grænser virksomheder betaler moms i deres hjemland, erstattes af en lav EU-fælles grænse på 10.000 euro. 

Derudover foreslås det eksisterende momsangivelses- og betalingssystem Mini One Stop Shop for elektroniske ydelser, teleydelser og radio- og tv-spredningsydelser udvidet til at omfatte alle former for ydelser, fjernsalg af varer inden for EU og varer med værdi indtil 150 euro indført fra steder uden for EU. 

Desuden indeholder forslaget et initiativ om håndtering af A-skat m.v. i forbindelse med udbetaling fra feriegarantiordninger m.v. og et ønske om udskydelse af ikrafttrædelsestidspunktet for den digitale logbog

Endelig indeholder forslaget lovtekniske justeringer. 
",,
Den danske krone skal erstattes med euroen,FV11,6,0.8318118,99806,L 70,"Forslag til lov om ændring af lov om betalingskonti, lov om finansiel virksomhed, lov om kapitalmarkeder, lov om Danmarks Nationalbank og forskellige andre love. (Adgang til en basal erhvervskonto for erhvervsdrivende og foreninger, tilsyn efter forordning om europæiske grønne obligationer og åremålsansættelse for direktionen i Danmarks Nationalbank m.v.).","Lovforslaget har til formål at ændre flere love inden for det finansielle område, herunder lov om betalingskonti, lov om finansiel virksomhed, lov om kapitalmarkeder og lov om Danmarks Nationalbank. Ændringerne skal blandt andet fremme adgangen til en basal erhvervskonto for erhvervsdrivende og foreninger, forbedre tilsynet med europæiske grønne obligationer og fastsætte regler for åremålsansættelse af direktionen i Danmarks Nationalbank. 

Lovforslaget udmønter dele af ""Aftale om Iværksætterpakken af 21. juni 2024"" mellem regeringen (Socialdemokratiet, Venstre og Moderaterne), Danmarksdemokraterne, Liberal Alliance, Det Konservative Folkeparti, Radikale Venstre og Dansk Folkeparti.

Loven foreslås at træde i kraft den 1. januar 2025
",,
Den danske krone skal erstattes med euroen,FV11,7,0.83161706,72150,L 135,Forslag til lov om ændring af udlændingeloven. (Præcisering af kravene til aflønning efter beløbsordningen).,"Dansk Folkeparti, Socialdemokratiet, og Socialistisk Folkeparti har fremsat dette lovforslag, som foreslår, at udlændingeloven ændres, så den fastsatte aflønning på 400.000 kr. fremover skal udbetales i Danmark, og så det tydeliggøres, at kost og logi m.v. ikke kan indgå i lønberegningen.

Lovforslaget er sendt i høring, og der er høringsfrist den 22. marts 2017. ",,
Den danske krone skal erstattes med euroen,FV11,8,0.8307005,97168,L 94,Forslag til lov om ændring af hvidvaskloven. (Nedsættelse af kontantforbudsgrænsen).,"Nationalbanken har indkaldt en række ældre pengesedler og 1.000-kronesedlen fra den eksisterende seddelserie. Det sker bl.a., fordi 1.000-kronesedlen ikke vurderes at være nødvendig for borgeres og virksomheders muligheder for sikre og effektive betalinger, og fordi 1.000-kronesedlen udgør en forøget risiko for kriminalitet. 

Sedlerne vil blive gjort ugyldige som betalingsmiddel fra den 1. juni 2025 og kan anvendes som lovligt betalingsmiddel indtil den 31. maj 2025.

Alle erhvervsdrivende, der modtager kontanter, vil derfor i en periode være ekstraordinært eksponerede for en forhøjet risiko for at blive misbrugt til hvidvask af penge. Risikoen retter sig navnlig mod virksomheder, som ikke er omfattet af hvidvasklovens særlige processer til forebyggelse af hvidvask, og vurderes at være højest for handlende med varer af høj værdi såsom smykker, ure, kunst og andre varer, der bevarer en høj værdi over tid.

Med lovforslaget foreslås det derfor at nedsætte det beløb, som erhvervsdrivende maksimalt må modtage i kontanter som betaling for varer og tjenesteydelser. Det foreslås, at loven træder i kraft den 1. marts 2024.",,
Den danske krone skal erstattes med euroen,FV11,9,0.8305397,72447,L 161,Forslag til lov om ændring af udlændingeloven. (Forhøjelse af mindstebeløbet i beløbsordningen).,"Med lovforslaget ændres udlændingeloven, så mindstebeløbet i beløbsordningen hæves fra det nuværende minimum på 400.000 kr. til et minimum på 500.000 kr. fremover.",,
Den danske krone skal erstattes med euroen,FV11,10,0.83020985,100877,L 136,"Forslag til lov om ændring af lov om dansk indfødsret. (Ændring af erklæringsadgangen for nordiske statsborgere, ændring af reglerne vedrørende fortabelse af dansk statsborgerskab og ændring af gebyret, der betales ved indgivelse af ansøgning om dansk statsborgerskab ved naturalisation).","Med lovforslaget foreslås det at skærpe vandelskravet for nordiske statsborgere, der ønsker at erklære sig danske, så kravet fremover regnes fra endt afsoning i stedet for domstidspunktet. Forslaget vil også bringe indfødsretsloven i overensstemmelse med EU-retten efter to EU-domme om fortabelse af statsborgerskab, som samtidig påvirker unionsborgerskab. Derudover foreslås en ensartning af ansøgningsprocessen for bevis på bevarelse af dansk statsborgerskab. Aftalen af 4. juni 2024 mellem regeringen og Liberal Alliance implementeres med en justering af gebyrer for dansk statsborgerskab, herunder en forhøjelse til 6.000 kr. for førstegangsansøgninger, mens visse unge stadig betaler 4.000 kr. Der indføres også gebyrer for genansøgninger. Endelig foreslås en årlig regulering af gebyrer i takt med pris- og lønudviklingen.",,
