id,year,majortopic,subtopic,description,filter_eu,Session,Number,Scope,Day,Month,DK_New_Code,DK_old_code,calendar_year,Date,Type,Opening
3773,1953,10,1002,Forslag til beslutning om importen af personmotork�ret�jer.,0,53,530009,28,21,10,1002,1006,1953,10/21/1953,2,0
1278,1953,18,1802,Om den fulde liberalisering,0,53,534,43,18,12,1802,1802,1953,12/18/1953,3,0
3765,1953,20,2011,forretningsorden for folketinget,0,53,530001,50,10,12,2011,2011,1953,12/10/1953,2,0
12913,1953,20,2012,Forslag til lov om ændring af lov nr. 1171 af 31. marts 1953 om valg til folketinget.,0,53,36,42,15,12,2012,2012,1953,12/15/1953,1,0
12920,1953,17,1707,Forslag til lov om ændring i lov om radiospredning.,0,53,43,57,3,12,1707,1707,1953,12/3/1953,1,0
12730,1953,10,1002,Lov om forlængelse af og ændringer i lov om bortsalg af visse brugte personmotorkøretøjer.,0,53,109,13,30,10,1002,1006,1953,10/30/1953,1,0
12558,1953,1,105,Lov om statsgaranti ved betalingsaftaler med udlandet og om udstedelse af statsforskrivninger i forbindelse med sådanne aftaler.,0,53,10,4,17,12,105,105,1953,12/17/1953,1,0
12838,1953,21,2105,Midlertidig lov for færøerne om pantsætning af fangst.,0,53,129,8,26,11,2105,2105,1953,11/26/1953,1,0
12878,1953,21,2105,Forslag til lov om gennemførelsen af dansk privatret i Grønland.,0,53,1,8,29,10,2105,2105,1953,10/29/1953,1,0
12828,1953,12,1299,"Lov om tillæg til lov nr. 283 af 11. november 1931 ang. Inddrivelse af underholdsbidrag, fastsatte i danmark, finland, island, norge og sverige.",0,53,125,4,6,11,1299,1299,1953,11/6/1953,1,0
12572,1953,1,107,Lov om omsætningsafgift af forskellige varer.,0,53,24,15,11,12,107,107,1953,12/11/1953,1,0
12562,1953,14,1401,Lov om begrænsning af adgangen til fradrag i den skattepligtige indkomst af udgifter til vedlgeholdelse af visse ejendomme.,0,53,14,15,1,10,1411,1411,1953,10/1/1953,1,0
12915,1953,1,107,Forslag til lov om bortfald af omsætningsafgiften af motorkretøjer.,0,53,38,11,20,11,107,107,1953,11/20/1953,1,0
12646,1953,16,1608,Lov om forlængelse af den midlertidige værnepligtslovgivning.,0,53,74,3,17,12,1608,1608,1953,12/17/1953,1,0
12605,1953,20,2001,Lov om ændring af lov nr. 84. af 31. marts 1937 om økonomisk udligning mv ml københavns kommune og frederiksberg og gentofte kommuner.,0,53,56,7,6,11,2001,2001,1953,11/6/1953,1,0
12905,1953,15,1522,Forslag til lov om arbejdstageres opfindelser.,0,53,28,2,4,11,1522,1522,1953,11/4/1953,1,0
12728,1953,15,1501,lov om forlængelse af lov om tillæg til bankloven.,0,53,107,11,20,11,1501,1501,1953,11/20/1953,1,0
12549,1953,20,2099,Lov om årpenge til medlemmer af det kongelige hus.,0,53,2,9,6,11,2099,2099,1953,11/6/1953,1,0
12652,1953,14,1406,Lov om ændringer i byggestøttelovgivningen.,0,53,77,40,1,10,1406,1406,1953,10/1/1953,1,0
3771,1953,1,105,Folketingsbeslutning ang�ende statsregnskabet for finans�ret 1951-52,0,53,530007,2,6,10,105,105,1953,10/6/1953,2,0
12613,1953,9,900,Lov om indfødsret meddelelser mv.,0,53,60,3,15,12,900,230,1953,12/15/1953,1,0
1275,1953,18,1802,Om fuld liberalisering,0,53,531,48,5,11,1802,1802,1953,11/5/1953,3,0
12659,1953,13,1300,Lov om særlig ydelse til alders- og invaliderentemodtagere m.fl samt om ændring af folkeforsikringsloven.,0,53,80,38,3,12,1300,1300,1953,12/3/1953,1,0
1277,1953,17,1707,Om fjernsynets fremtid,0,53,533,41,9,12,1707,1707,1953,12/9/1953,3,0
12570,1953,1,107,Lov om forskellige forbrugsafgifter.,0,53,22,15,11,12,107,107,1953,12/11/1953,1,0
12568,1953,1,107,Lov om forlængelse af midlertidige ændringer i forbrugsafgiftslove.,0,53,20,15,11,12,107,107,1953,12/11/1953,1,0
12575,1953,1,107,Lov om forhøjelse af afgifter på omsætningen af stærke drikke.,0,53,27,22,1,10,107,107,1953,10/1/1953,1,0
12729,1953,15,1522,Lov om ændring af lov om patenter.,0,53,108,9,20,11,1522,1522,1953,11/20/1953,1,0
12792,1953,10,1007,Lov om forlængelse af lov om forsikring af varer og fragt med krigsfare til søs.,0,53,111,4,11,11,1007,1007,1953,11/11/1953,1,0
12916,1953,13,1308,Forslag til lov om børnetilskud.,0,53,39,10,25,11,1308,1308,1953,11/25/1953,1,0
1276,1953,6,601,Om de studerendes vilkår,0,53,532,13,19,11,601,601,1953,11/19/1953,3,0
12678,1953,5,501,Lov om ændring af fabriksloven.,0,53,88,9,15,12,501,501,1953,12/15/1953,1,0
12694,1953,10,1005,Lov om ændringer i statsbaneloven.,0,53,94,16,1,10,1005,1005,1953,10/1/1953,1,0
12827,1953,12,1299,"Lov om tillæg til lov nr. 279 af 11. november 1931 vedr internationalprivatretlige bestemmelser ml danmark, finland, island, norge og sverige om ægteskab, adoption og værgemål.",0,53,124,4,6,11,1299,1299,1953,11/6/1953,1,0
12576,1953,1,107,Lov om nedsættelse af beskatningen af frugtvin,0,53,28,11,1,10,107,107,1953,10/1/1953,1,0
12598,1953,4,408,Lov om ind- og udførsel af fisk.,0,53,50,6,18,11,408,408,1953,11/18/1953,1,0
12578,1953,1,107,Lov om ændring af lov om tobaksafgifter.,0,53,30,22,1,10,107,107,1953,10/1/1953,1,0
12716,1953,15,1520,Lov om forlængelse af lov om prisaftaler mv.,0,53,102,30,13,11,1520,1520,1953,11/13/1953,1,0
