sagid,sag_nummer,domains
12715,L 4,Economy
13015,L 33,Education
13004,L 19,Business
12991,L 13,Labour
12994,L 14,Labour
12992,L 15,Labour
13007,L 17,Business
13005,L 18,Business
20246,L 46,Business
13008,L 16,Business
12985,L 10,Economy
20242,L 41,Economy
12979,L 5,Economy
12983,L 7,Economy
12984,L 9,Economy
12998,L 36,Agriculture
12999,L 38,Agriculture
12981,L 12,Local
12997,L 37,Agriculture
21430,L 65,Education
21428,L 66,Education
13009,L 24,Culture|Education
19585,L 39,Housing
20245,L 47,Housing
12990,L 31,Environment
12710,L 1,Economy
12713,L 2,Economy
12714,L 3,Economy
21903,L 58 A,Labour
21904,L 58 B,Labour
21432,L 59,Labour
21437,L 60,Labour
21436,L 61,Labour
13002,L 11,Environment|Infrastructure
20248,L 48,Business|Environment
20249,L 49,Energy
12993,L 21,Infrastructure
21433,L 73,Business
13011,L 32,Education
21320,L 56,Education
12982,L 6,Economy
12980,L 8,Economy
21901,L 42 A,Economy
21902,L 42 B,Economy
21899,L 43 A,Economy
21900,L 43 B,Economy
21420,L 63,Economy
20241,L 44,Immigration|Justice
21898,L 45 B,Immigration
12996,L 28,Justice|Territories
13000,L 29,Justice
21810,L 30 A,Infrastructure
21811,L 30 B,Justice
21604,L 86,Environment
21327,L 51,Business
21601,L 83,Labour
21602,L 84,Labour
21423,L 72,Immigration
21318,L 50,Justice
21424,L 69,Justice
21852,L 104,Environment
21317,L 52,Infrastructure
21319,L 53,Infrastructure
21429,L 68,Infrastructure
21315,L 54,Economy|Labour
21425,L 71,Environment
21606,L 85,Environment
21793,L 94,Environment
21859,L 102,Labour
21861,L 111,Labour
21860,L 101,Labour
21850,L 98,Economy
21796,L 89,Housing
21982,L 108,Housing
21984,L 109,Local
21986,L 113,Economy
21799,L 95,Justice
21858,L 96,Culture
21855,L 103,Social
21605,L 82,Energy|Housing
21798,L 90,Education
21797,L 91,Education
22149,L 123,Economy
21794,L 92,Business|Justice
22037,L 114,Business
21706,L 87,Justice
21854,L 100,Business
21853,L 105,Business
22155,L 116,Energy
22145,L 125,Immigration
21979,L 110,Culture
22146,L 131,Education
21431,L 67,Business
22157,L 119,Energy
22271,L 136,Health
22036,L 115,Health
22604,L 145,Local
22156,L 120,Social
22152,L 121,Social
22618,L 148,Social
22506,L 139,Housing
22784,L 161,Housing
22614,L 154,Business
22267,L 133,Infrastructure
22608,L 143,Infrastructure
22154,L 126,Environment
22607,L 155,Environment
22870,L 165,Immigration
22270,L 134,Agriculture
22781,L 159,Economy|Infrastructure
22605,L 152,Justice
21985,L 112,Agriculture
22610,L 141,Infrastructure
22609,L 142,Infrastructure
22274,L 137,Health
22613,L 150,Energy
22612,L 151,Energy|Infrastructure
22606,L 144,Economy
22148,L 130,Education
22619,L 149,Education
22272,L 132,Social
22505,L 138,Social
22783,L 162,Infrastructure
22611,L 156,Agriculture
22873,L 163,Energy
22951,L 169,Social
22946,L 176,Environment
22947,L 177,Energy|Infrastructure
23127,L 185,Labour
22957,L 180,Education|Social
22871,L 166,Economy
22159,L 117,Business
22954,L 178,Foreign
22616,L 153,Business
22615,L 157,Business
22948,L 172,Business
22958,L 181,Education
22945,L 174,Infrastructure
22944,L 175,Infrastructure
27237,L 2,Immigration
27238,L 5,Economy
27241,L 6,Economy
27242,L 7,Economy
27717,L 18,Economy
27718,L 29,Europe
27720,L 11,Energy
28412,L 62,Immigration
28069,L 37,Business
28071,L 38,Business
27715,L 14,Economy
27713,L 15,Culture
27725,L 20,Business|Territories
27706,L 27,Labour|Territories
27724,L 9,Defence
27722,L 10,Defence
27729,L 4,Europe|Immigration
27731,L 5,Immigration
27703,L 25,Labour
27704,L 28,Labour|Social
28064,L 34,Culture
67309,L 74,Immigration
27727,L 22,Justice
27730,L 24,Justice
27716,L 1,Economy
27709,L 2,Economy
27712,L 3,Economy
28313,L 49,Education
27733,L 6,Social
27732,L 7,Social
27734,L 8,Local
28067,L 36,Immigration
28068,L 39,Business
28312,L 51,Housing
27723,L 21,Infrastructure
28180,L 40,Labour
28309,L 45,Economy
28305,L 46,Economy
28182,L 44,Health
28311,L 47,Health
27719,L 12,Energy
27955,L 30,Energy
28070,L 33,Infrastructure
28061,L 32,Education
28302,L 57,Agriculture
28059,L 31,Labour
28304,L 54,Labour
28303,L 55,Labour
28466,L 66,Labour
27711,L 13,Economy
27708,L 16,Economy
27710,L 17,Economy|Housing
67644,L 56 A,Economy
67645,L 56 B,Justice
28401,L 61,Economy
28404,L 64,Economy|Infrastructure
28402,L 65,Economy
28471,L 69,Economy
28400,L 70,Economy|Energy
28405,L 60,Immigration
67310,L 75,Immigration
27728,L 23,Justice
28065,L 35,Social|Territories
28310,L 50,Business
28315,L 52,Energy
28308,L 59,Agriculture|Environment
28406,L 63,Education|Local
28181,L 41,Justice|Territories
67380,L 87,Immigration
67919,L 53 A,Immigration
67920,L 53 B,Immigration
67552,L 88,Labour
67551,L 89,Labour|Social
67383,L 76,Social
67560,L 90,Infrastructure
67558,L 91,Energy
67555,L 95,Economy
28185,L 43,Justice
28316,L 48,Justice
46075,L 73,Health
67378,L 78,Justice
67377,L 79,Justice
67375,L 80,Justice
67376,L 85,Infrastructure
67802,L 105,Social
67554,L 96,Economy|Housing
28403,L 68,Agriculture|Environment
67371,L 86,Health
67553,L 94,Business
67557,L 92,Infrastructure
67561,L 93,Energy
67768,L 104,Economy
67556,L 97,Justice
67875,L 106,Labour
67971,L 113,Labour
67881,L 110,Housing
67877,L 111,Immigration
68060,L 122,Economy
67734,L 99,Economy|Europe
67370,L 77,Culture
67876,L 112,Health
67379,L 83,Infrastructure
67733,L 100,Social
67880,L 109,Immigration
68063,L 121,Health
67878,L 108,Justice
67731,L 103,Business
67729,L 101,Housing
67879,L 107,Justice
68068,L 117,Social
68252,L 129,Social
68251,L 130,Social
68066,L 116,Business
67384,L 82,Agriculture|Environment
68224,L 140,Labour
68223,L 141,Labour
68236,L 125,Education
68238,L 128,Education
68243,L 133,Infrastructure
69219,L 185,Energy
68384,L 147,Environment
68385,L 148,Environment
68246,L 142,Health
68248,L 143,Health
68244,L 144,Health
68250,L 135,Justice
68241,L 124,Economy
69340,L 149 A,Economy
69341,L 149 B,Economy
68234,L 126,Education
68232,L 127,Education
68382,L 145,Labour
68249,L 131,Business
68383,L 146,Business
68065,L 120,Environment
68679,L 160,Energy
68676,L 167,Defence
69560,L 98 A,Justice
69561,L 98 B,Justice
67985,L 114,Justice
67730,L 102,Infrastructure
68245,L 132,Infrastructure
68237,L 134,Infrastructure
69554,L 161 A,Infrastructure
69555,L 161 B,Justice
68691,L 150,Economy
68662,L 162,Social
68663,L 163,Social
68233,L 138,Culture
68692,L 151,Labour
69140,L 183,Justice
69215,L 186,Justice
69216,L 187,Justice
28183,L 42,Justice|Territories
68655,L 155,Territories
68230,L 139,Foreign
28306,L 58,Agriculture|Environment
68247,L 137,Agriculture
68954,L 172,Energy
68953,L 173,Energy
69055,L 174,Culture
68681,L 165,Health
68689,L 166,Health
68661,L 153,Housing|Immigration
68660,L 154,Housing
68799,L 168,Immigration
68850,L 169,Immigration
69056,L 175,Immigration
69214,L 190,Education
69218,L 188,Housing|Immigration
69217,L 189,Immigration
69641,L 191 A,Immigration
69642,L 191 B,Social
68659,L 159,Business
68658,L 158,Business|Territories
68693,L 152,Labour|Territories
68956,L 177,Labour
68955,L 178,Labour
69145,L 181,Labour
69143,L 182,Labour
69144,L 184,Health
69116,L 179,Infrastructure
69139,L 180,Social
70235,L 4,Labour
70262,L 23,Business
70264,L 24,Business|Justice
70410,L 39,Business
70240,L 29,Economy|Europe
70252,L 35,Defence
70272,L 5,Social
70273,L 6,Social
70270,L 8,Social
70268,L 10,Housing
70269,L 11,Immigration
70267,L 12,Immigration
70249,L 36,Education
71022,L 37 A,Social
71023,L 37 B,Social
70265,L 22,Business
71139,L 96,Business
70254,L 16,Justice
70261,L 17,Justice
70259,L 19,Justice
70258,L 20,Justice
70226,L 1,Economy
70236,L 2,Economy
70238,L 3,Economy
70241,L 31,Economy|Territories
70714,L 57,Social|Territories
71384,L 54 A,Social
70253,L 30,Immigration
70687,L 63,Labour
70688,L 64,Labour
70701,L 67,Energy|Infrastructure
70698,L 68,Energy|Infrastructure
70543,L 42,Business
70544,L 46,Immigration
70242,L 28,Economy
70246,L 38,Health
70546,L 47,Health
70695,L 74,Health
70694,L 75,Health
70867,L 86,Labour
70244,L 33,Economy
70707,L 61,Infrastructure
70709,L 62,Infrastructure
70237,L 34,Agriculture|Environment
70547,L 44,Agriculture|Environment
70689,L 78,Agriculture|Environment
70691,L 79,Agriculture
70703,L 69,Education
70713,L 48,Immigration
70716,L 49,Immigration|Justice
70804,L 82,Immigration
70871,L 90,Energy
70697,L 58,Education
70696,L 59,Education
70806,L 85,Education
70868,L 87,Education
70869,L 88,Education
70870,L 89,Education
70699,L 81,Foreign
70705,L 80,Defence|Labour
70805,L 83,Defence
70545,L 43,Justice
70712,L 71,Justice
70711,L 73,Justice
70692,L 84,Economy|Territories
70872,L 91,Energy
71429,L 92 A,Economy
71430,L 92 B,Economy
70905,L 93,Economy
71013,L 94,Social
70704,L 65,Housing
70702,L 66,Housing
71351,L 102,Economy|Local
71012,L 95,Health
70710,L 70,Justice
70708,L 72,Justice
70690,L 77,Environment
71347,L 97,Education|Labour
71341,L 109,Education
70720,L 52,Social
70719,L 51,Immigration
71350,L 108,Immigration
71349,L 101,Economy|Energy
71342,L 105,Justice
70548,L 45,Agriculture
71513,L 114,Agriculture
71353,L 99,Health
70715,L 53,Social
70718,L 55,Local
71352,L 104,Economy|Housing
71579,L 115,Economy
71750,L 119,Immigration
70717,L 50,Culture
72015,L 126,Immigration
70271,L 7,Social
71970,L 133,Labour
72016,L 128,Labour
72141,L 137,Economy
71756,L 116,Infrastructure
71752,L 123,Education
71340,L 98,Infrastructure
72010,L 131,Culture
71512,L 112,Labour
71755,L 117,Education
71753,L 118,Education
72138,L 143,Housing
71511,L 113,Business|Labour
70411,L 40,Business
72545,L 165,Housing
72009,L 129,Justice|Territories
71343,L 107,Social
72013,L 132,Health
72014,L 127,Economy|Local
72012,L 130,Justice
72661,L 168,Justice
72659,L 169,Justice
72139,L 138,Education
72136,L 140,Labour|Territories
72430,L 154,Immigration
73132,L 141 A,Infrastructure
73133,L 141 B,Justice
72011,L 134,Culture
72428,L 152,Culture
72425,L 160,Culture
71346,L 110,Agriculture|Environment
72143,L 144,Agriculture
72134,L 146,Defence
70245,L 27,Economy
72674,L 172,Business
73225,L 182 A,Economy
73226,L 182 B,Economy
72432,L 153,Immigration
71344,L 100,Economy
71387,L 106,other
