aktørid,aktør_navn,Candidates.Fullname,Candidates.Party,election,match_method
4434,Abbas Razvi,Abbas Razvi,Radikale Venstre,FV11,normalized_exact
4434,Abbas Razvi,Abbas Razvi,Radikale Venstre,FV19,normalized_exact
4434,Abbas Razvi,Abbas Razvi,Radikale Venstre,FV22,normalized_exact
18,Alex Ahrendtsen,Alex Ahrendtsen,Dansk Folkeparti,FV11,normalized_exact
18,Alex Ahrendtsen,Alex Ahrendtsen,Dansk Folkeparti,FV15,normalized_exact
18,Alex Ahrendtsen,Alex Ahrendtsen,Dansk Folkeparti,FV19,normalized_exact
18,Alex Ahrendtsen,Alex Ahrendtsen,Dansk Folkeparti,FV22,normalized_exact
18703,Alex Vanopslagh,Alex Vanopslagh,Liberal Alliance,FV19,normalized_exact
18703,Alex Vanopslagh,Alex Vanopslagh,Liberal Alliance,FV22,normalized_exact
19806,Alexander Grandt,Alexander Grandt,Socialdemokratiet,FV19,normalized_exact
20395,Alexander Ryle,Alexander Ryle,Liberal Alliance,FV22,normalized_exact
21159,Ammar Ali,Ammar Ali,Moderaterne,FV22,normalized_exact
16374,Anders Johansson,Anders Johansson,Det Konservative Folkeparti,FV15,normalized_exact
16374,Anders Johansson,Anders Johansson,Det Konservative Folkeparti,FV19,normalized_exact
16374,Anders Johansson,Anders Johansson,Det Konservative Folkeparti,FV22,normalized_exact
18718,Anders Kronborg,Anders Kronborg,Socialdemokratiet,FV19,normalized_exact
18718,Anders Kronborg,Anders Kronborg,Socialdemokratiet,FV22,normalized_exact
148,Anders Samuelsen,Anders Samuelsen,Liberal Alliance,FV11,normalized_exact
148,Anders Samuelsen,Anders Samuelsen,Liberal Alliance,FV15,normalized_exact
148,Anders Samuelsen,Anders Samuelsen,Liberal Alliance,FV19,normalized_exact
17752,Anders Stjernholm,Anders Stjernholm,Alternativet,FV15,normalized_exact
17752,Anders Stjernholm,Anders Stjernholm,Alternativet,FV19,normalized_exact
20414,Anders Vistisen,Anders Vistisen,Dansk Folkeparti,FV22,normalized_exact
20767,Andreas Karlsen,Andreas Karlsen,Det Konservative Folkeparti,FV22,normalized_exact
123,Andreas Steenberg,Andreas Steenberg,Radikale Venstre,FV15,normalized_exact
123,Andreas Steenberg,Andreas Steenberg,Radikale Venstre,FV19,normalized_exact
123,Andreas Steenberg,Andreas Steenberg,Radikale Venstre,FV22,normalized_exact
286,Ane Halsboe-Jørgensen,Ane Halsboe-Jørgensen,Socialdemokratiet,FV15,normalized_exact
286,Ane Halsboe-Jørgensen,Ane Halsboe-Jørgensen,Socialdemokratiet,FV19,normalized_exact
286,Ane Halsboe-Jørgensen,Ane Halsboe-Jørgensen,Socialdemokratiet,FV22,normalized_exact
303,Anita Christensen,Anita Christensen,Dansk Folkeparti,FV11,normalized_exact
19146,Anna Brændemose,Anna Brændemose,SF - Socialistisk Folkeparti,FV19,normalized_exact
19146,Anna Brændemose,Anna Brændemose,SF - Socialistisk Folkeparti,FV22,normalized_exact
198,Anne Baastrup,Anne Baastrup,SF - Socialistisk Folkeparti,FV11,normalized_exact
20642,Anne Hegelund,Anne Hegelund,Enhedslisten - De Rød-Grønne,FV15,normalized_exact
20642,Anne Hegelund,Anne Hegelund,Enhedslisten - De Rød-Grønne,FV19,normalized_exact
20642,Anne Hegelund,Anne Hegelund,Enhedslisten – De Rød-Grønne,FV22,normalized_exact
18702,Anne Honoré Østergaard,Anne Honoré Østergaard,"Venstre, Danmarks Liberale Parti",FV19,normalized_exact
18702,Anne Honoré Østergaard,Anne Honoré Østergaard,"Venstre, Danmarks Liberale Parti",FV22,normalized_exact
5182,Anne Marie Geisler Andersen,Anne Marie Geisler Andersen,Radikale Venstre,FV15,normalized_exact
5182,Anne Marie Geisler Andersen,Anne Marie Geisler Andersen,Radikale Venstre,FV22,normalized_exact
16503,Anne Paulin,Anne Paulin,Socialdemokratiet,FV15,normalized_exact
16503,Anne Paulin,Anne Paulin,Socialdemokratiet,FV19,normalized_exact
16503,Anne Paulin,Anne Paulin,Socialdemokratiet,FV22,normalized_exact
