sagid,oda_sagsomraade
1449,virksomhedsskat
12710,finanspolitik
12713,finanspolitik
12714,finanspolitik
12715,energiafgifter 
12979,international beskatning 
12980,international beskatning 
12981,tilskud og udligning
12982,international beskatning 
12983,international beskatning 
12984,moms |skattekontrol
12985,beskatning af aktier|moms |selskabsskatter |skattekontrol
12990,jagt- og vildtforvaltning
12991,arbejdsmarkedspolitik og beskæftigelsesindsats
12992,arbejdsret og overenskomster
12993,faste forbindelser
12994,sygefravær og sygedagpenge
12996,politi og retsvæsen
12997,landbrug
12998,fiskeri og havbrug
12999,landbrug
13000,civilret
13002,energipolitik og energieffektivitet
13004,turisme og oplevelsesøkonomi
13005,konkurrence- og forbrugerforhold
13007,patent- og varemærkning
13008,selskaber og fonde
13009,kunstneriske uddannelser
13011,ungdoms- og efterskoler
13014,lægemidler og apoteker
13015,erhvervsuddannelser
19585,byfornyelse
20241,indfødsrets og naturalisering
20242,fonds- og foreningsbeskatning|inddrivelse
20245,boliger til særlige grupper
20246,selskaber og fonde
20248,alternative og vedvarende energikilder
20249,olie- og naturgasindvinding
21315,byråd og regionsråd
21317,jernbaneinfrastruktur
21318,strafferet og kriminalitet
21319,jernbaneinfrastruktur
21320,erhvervsuddannelser|uddannelsesstøtte
21327,regnskab og revision
21420,administration
21423,flygtninge og asylansøgere
21424,færdselsret
21425,miljøpolitik og miljøbeskyttelse
21428,voksen- og efteruddannelse
21429,vejinfrastruktur
21430,voksen- og efteruddannelse
21431,rejser og besøg
21432,arbejdsmarkedspolitik og beskæftigelsesindsats
21433,finansiel virksomhed
21436,indvandrere og integration
21437,arbejdsmarkedspensioner 
21601,arbejdsmiljø og arbejdsskader
21602,arbejdsret og overenskomster
21604,naturbeskyttelse og kystsikring
21605,erhvervsudlejning
21606,naturbeskyttelse og kystsikring|råstoffer og skovbrug
21706,flygtninge og asylansøgere
21793,naturbeskyttelse og kystsikring
21794,patent- og varemærkning
21796,boligpolitik
21797,forskning og innovation
21798,forskning og innovation
21799,international ret og menneskerettigheder
21810,færdselsret
