aktørid,aktør_navn,aktør_fornavn,aktør_efternavn,aktør_typeid
5,Frank Aaen,Frank,Aaen,5
12,Nicolai Wammen,Nicolai,Wammen,5
13,Sara Olsvig,Sara,Olsvig,5
17,Christine Antorini,Christine,Antorini,5
18,Alex Ahrendtsen,Alex,Ahrendtsen,5
23,Bjarne Corydon,Bjarne,Corydon,5
24,Karsten Lauritzen,Karsten,Lauritzen,5
28,Henrik Sass Larsen,Henrik Sass,Larsen,5
33,Holger K. Nielsen,Holger K.,Nielsen,5
34,Søren Espersen,Søren,Espersen,5
38,Astrid Krag,Astrid,Krag,5
39,Christian Juhl,Christian,Juhl,5
43,Pia Olsen Dyhr,Pia Olsen,Dyhr,5
44,Henning Hyllested,Henning,Hyllested,5
47,Karen Hækkerup,Karen,Hækkerup,5
48,Peter Skaarup,Peter,Skaarup,5
49,Erling Bonnesen,Erling,Bonnesen,5
50,Liselott Blixt,Liselott,Blixt,5
55,Marianne Jelved,Marianne,Jelved,5
56,Karin Nødgaard,Karin,Nødgaard,5
57,Jakob Engel-Schmidt,Jakob,Engel-Schmidt,5
59,Rasmus Helveg Petersen,Rasmus Helveg,Petersen,5
62,Annette Vilhelmsen,Annette,Vilhelmsen,5
64,Flemming Damgaard Larsen,Flemming Damgaard,Larsen,5
67,Nick Hækkerup,Nick,Hækkerup,5
68,Nikolaj Villumsen,Nikolaj,Villumsen,5
69,Pernille Skipper,Pernille,Skipper,5
70,Martin Henriksen (udpeget af DF),Martin,Henriksen (udpeget af DF),5
71,Tom Behnke,Tom,Behnke,5
72,Karen Ellemann,Karen,Ellemann,5
73,Merete Riisager,Merete,Riisager,5
74,Mette Reissmann,Mette,Reissmann,5
75,Jeppe Mikkelsen,Jeppe,Mikkelsen,5
77,Kristian Thulesen Dahl,Kristian Thulesen,Dahl,5
78,Marie Krarup,Marie,Krarup,5
79,Christian Langballe (udpeget af DF),Christian,Langballe (udpeget af DF),5
80,Torsten Schack Pedersen,Torsten Schack,Pedersen,5
81,Mads Rørvig,Mads,Rørvig,5
82,Hans Kristian Skibby,Hans Kristian,Skibby,5
83,Brian Mikkelsen,Brian,Mikkelsen,5
84,Troels Ravn,Troels,Ravn,5
85,Özlem Sara Cekic,Özlem Sara,Cekic,5
86,Marlene Borst Hansen,Marlene Borst,Hansen,5
87,Finn Sørensen,Finn,Sørensen,5
88,Martin Geertsen,Martin,Geertsen,5
92,Carsten Hansen,Carsten,Hansen,5
93,Louise Elholm,Louise,Elholm,5
94,Peter Christensen,Peter,Christensen,5
95,Steen Gade,Steen,Gade,5
96,Mike Legarth,Mike,Legarth,5
97,Jesper Petersen,Jesper,Petersen,5
