afstemningid,sagstrinid,kommentar,afstemningstypeid,dato,sagstrintypeid,sagid,sagstypeid,sag_nummer,sag_titel,sag_titelkort,sag_resume
2,4849,,1,2014-09-09 09:15:00,17,1449,3,L 200,Forslag til lov om ændring af virksomhedsskatteloven og kildeskatteloven. (Indgreb mod utilsigtet udnyttelse af virksomhedsordningen ved indskud af privat gæld m.v.).,Om indgreb mod utilsigtet udnyttelse af virksomhedsordningen ved indskud af privat gæld m.v.,"Loven ændrer virksomhedsskatteordningens regler, så det sikres, at selvstændigt erhvervsdrivende ikke kan udnytte virksomhedsskatteordningen utilsigtet. Med loven sikres det, at selvstændige ikke kan anvende lavt beskattede midler til at finansiere privatforbrug og afdrage på privat gæld, uden at midlerne beskattes som personlig indkomst. Der ændres ikke på virksomhedsskatteordningens grundlæggende struktur og indhold.

Loven indeholder følgende elementer:
- Selvstændige kan fremover kun spare op i virksomhedsordningen, hvis indskudskontoen er nul eller positiv. 
- Hvis aktiver, der indgår i virksomhedsordningen, fremover stilles til sikkerhed for gæld, der ikke indgår i virksomhedsordningen, anses et tilsvarende beløb for hævet af den selvstændige.
- Rentekorrektionen forhøjes effektivt med 3 procentpoint med henblik på at eliminere den skattemæssige besparelse, som selvstændige kan opnå ved at placere private renteudgifter i virksomhedsordningen.
- For selvstændige, der ved lovforslagets fremsættelse anvender virksomhedsordningen, og som allerede har stillet virksomhedens aktiver til sikkerhed for gæld, der ikke indgår i ordningen, eller har en negativ indskudskonto, suspenderes muligheden for at spare op i ordningen. Det gælder dog kun, hvis summen af den nominelle værdi af den negative indskudskonto og en evt. sikkerhedsstillelse overstiger 100.000 kr.

Begrænsningerne i forhold til opsparingsmuligheden og forhøjelsen af rentekorrektionssatsen skønnes at indebære et umiddelbart merprovenu på ca. 0,8 mia. kr. i 2014, ca. 0,9 mia.kr. i 2015 og ca. 0,8 mia. kr. fra og med 2016. Den varige umiddelbare provenuvirkning skønnes at udgøre ca. 0,65 mia. kr. og ca. 0,5 mia. kr. efter tilbageløb.

For hurtigst muligt at give selvstændige klarhed om de nye regler, og da dele af loven skulle have virkning allerede fra og med fremsættelsen af lovforslaget af hensyn til indgrebets effektivitet og hindring af hamstring, er loven blevet vedtaget i indeværende folketingsår."
1783,37246,,1,2014-10-31 10:00:00,17,12715,3,L 4,"Forslag til lov om ændring af lov om afgift af elektricitet, lov om afgift af stenkul, brunkul og koks m.v., personskatteloven og forskellige andre love. (Tilbagerulning af forsyningssikkerhedsafgiften, nedsættelse af elvarmeafgiften, forhøjelse af elafgiften, tilpasning af afgiftsregler for VE-brændsler, forhøjelse af bundskatten og det skrå skatteloft, nedsættelse af den grønne check og afgiftsforhøjelse på cigarillos m.v.).",Om tilbagerulning af forsyningssikkerhedsafgiften m.v.,"Lovforslaget betyder, at afgiftsforhøjelserne på fossile brændsler og den nye afgift på VE-brændsler, der følger af forsyningssikkerhedsafgiften, afskaffes fra den 1. januar 2015. Derudover nedsættes energiafgifterne på fossile brændsler (olie, kul og gas) med 7,9 kr./GJ, og elvarmeafgiften nedsættes parallelt. Desuden justeres afgifterne vedrørende bioolier m.v. Samlet skønnes tilbagerulningen af forsyningssikkerhedsafgiften m.v. at indebære et mindreprovenu efter indregning af tilbageløb og adfærdsændringer på ca. 3,0 mia. kr. (2014-niveau) i 2020. Tilbagerulningen finansieres ved en forhøjelse af bundskattesatsen og det skrå skatteloft med 0,28 procentpoint og en reduktion af den grønne check med 425 kr. i 2020 (fra 1.300 kr. til 875 kr.), når tilbagerulningen er fuldt indfaset. 

Der gennemføres derudover en erhvervsrettet lempelse af PSO for el på knap 1 mia. kr. årligt i 2015 og 2016 stigende til ca. 1,6 mia. kr. årligt fra 2017 og frem. Efter indregning af tilbageløb og adfærdsændringer skønnes lempelsen for erhverv at indebære et mindreprovenu på ca. 730 mio. kr. (2014-niveau) i 2020. 

Endvidere forhøjes stykafgiften på cigarillos, cerutter og cigarer m.v. til 50 øre pr. stk. i 2015, værdiafgiften på 10 pct. af detailprisen fastholdes, og der indføres en minimumsafgift på 130 øre pr. stk. inklusive moms i 2015. Herudover foretages en indeksering af styk- og minimumsafgiften med årligt 1,8 pct. i perioden 2015-2020. Efter indregning af tilbageløb og adfærdsændringer skønnes merprovenuet således at udgøre 40 mio. kr. årligt til og med 2020. 

Lovforslaget indeholder elementer fra »Aftale om tilbagerulning af forsyningssikkerhedsafgiften m.v. og lempelser af PSO« og et element fra »Aftale om en vækstpakke«. Aftalerne er indgået mellem regeringen (Socialdemokratiet og Radikale Venstre), Venstre, Dansk Folkeparti, Socialistisk Folkeparti og Enhedslisten henholdsvis den 14. juli og den 2. juli 2014."
2267,38484,,1,2014-12-02 13:00:00,17,13015,3,L 33,Forslag til lov om ændring af lov om produktionsskoler. (Ophævelse af revisionsbestemmelse m.v.).,Om kompetencebevis.,"Lovforslaget indebærer, at ordningen med, at alle produktionsskoledeltagere kan få et kompetencebevis, når de har afsluttet deres produktionsskoleforløb, bliver gjort permanent. Kompetencebeviset dokumenterer varighed og indhold af det konkrete forløb og dokumenterer de faglige kompetencer, som deltageren har opnået under produktionsskoleforløbet."
2268,38341,,1,2014-12-02 13:00:00,17,13004,3,L 19,Forslag til lov om dansk turisme.,Om dansk turisme.,"Lovforslaget etablerer et nationalt turismeforum, som skal koordinere og styre den offentlige turismefremmeindsats i Danmark. Det nationale turismeforum skal udarbejde en national strategi for dansk turisme med centrale prioriteter og mål for fremme af dansk turisme og igangsætte analyser, herunder en større årlig analyse af udviklingen i dansk turisme. Forummet skal endvidere årligt udarbejde en rapport til erhvervs- og vækstministeren om status for udmøntningen af den nationale strategi.

I tilknytning til det nationale turismeforum etableres et rådgivende organ, Dansk Turismes Advisory Board, som består af organisationer og øvrige relevante ministerier. Advisoryboardet skal medvirke til, at der er sammenhæng mellem målene for den offentlige turismefremmeindsats og relevante sektorområder inden for turismen og erhvervets efterspørgsel og udviklingsmuligheder. 

Udviklingsindsatsen samles under tre regionale udviklingsselskaber for turisme, der får ansvaret for udviklingen af dansk turisme inden for de tre forretningsområder kyst- og naturturismen, erhvervs- og mødeturismen samt storbyturismen. Selskaberne skal udarbejde udviklingsstrategier for hvert forretningsområde og afrapportere til det nationale turismeforum. Status for udmøntningen af strategierne vil indgå i den årlige rapport til erhvervs- og vækstministeren. 

Formålet med lovforslaget er at skabe en stærkere organisering og styring af den offentlige turismefremmeindsats. Lovforslaget følger op på den politiske aftale om vækstplan for dansk turisme fra juni 2014 mellem regeringen (Socialdemokratiet og Radikale Venstre), Venstre, Dansk Folkeparti, Socialistisk Folkeparti, Enhedslisten og Det Konservative Folkeparti.

Loven træder i kraft den 1. januar 2015."
2282,38172,,1,2014-12-04 10:00:00,17,12991,3,L 13,Forslag til lov om ændring af lov om aktiv socialpolitik. (Ændring af formue- og fradragsregler ved efterbetaling af offentlige forsørgelsesydelser og øvrige offentlige sociale ydelser m.v.).,Om ændring af formue- og fradragsregler ved efterbetaling af offentlige forsørgelsesydelser.,"Formålet med lovforslaget er at sikre, at personer, der får efterbetalt en social ydelse f.eks. som led i en sag vundet ved Ankestyrelsen om retten til sygedagpenge, ikke efterfølgende mister deres uddannelses- eller kontanthjælp på grund af formue- og fradragsreglerne i kontanthjælpslovgivningen. Personer, der ikke har fået udbetalt den korrekte ydelse, og som derfor kan have stiftet gæld, skal have mulighed for f.eks. at anvende efterbetalingen til at tilbagebetale gælden. Der skal derfor ses bort fra efterbetalingen i 2 år efter udbetalingen. De ændrede regler får også betydning for personer, der modtager ressourceforløbsydelse, idet reglerne om fradrag af indtægter i kontant- og uddannelseshjælp finder tilsvarende anvendelse, for så vidt angår egne indtægter.

Lovforslaget udmønter aftalen om ændring af formue- og fradragsreglerne i kontanthjælpslovgivningen ved efterbetaling af sociale ydelser, som regeringen (Socialdemokraterne og Radikale Venstre) indgik den 8. maj 2014 med Enhedslisten og Socialistisk Folkeparti.

"
2283,38211,,1,2014-12-04 10:00:00,17,12994,3,L 14,Forslag til lov om ændring af lov om ferie. (Færre betingelser for optjening af sygeferiegodtgørelse og fællesopkrævning fra arbejdsgivere for betalingen til Feriepengeinfo m.v.).,Om færre betingelser for optjening af sygeferiegodtgørelse m.v.,"Lovforslaget har til formål at sikre lønmodtagere, der ikke har ret til fuld løn under sygdom, ret til at optjene minimum 4 ugers betalt ferie om året eller en forholdsmæssig andel heraf. Dette sikres ved, at en lønmodtager, der ikke har ret til fuld løn under sygdom, som udgangspunkt har ret til sygeferiegodtgørelse fra 2. sygefraværsdag under hver periode med sygefravær i optjeningsåret.

Desuden indeholder lovforslaget hjemmel til, at arbejdsgivernes betaling for Feriepengeinfo kan ske via en fælles opkrævning, der administreres af Arbejdsgivernes Tillægspension (ATP). Betalingen for Feriekontos administration af Feriepengeinfo kan opkræves via ATP's fællesopkrævning for de arbejdsgivere, der indberetter oplysninger om feriegodtgørelse til Feriepengeinfo via indkomstregisteret. Feriepengeinfo er en portal, der fra den 1. maj 2015 skal indeholde oplysninger om alle lønmodtageres optjente feriegodtgørelse. Lønmodtagerne får et samlet overblik over optjent ferie med feriegodtgørelse, og de skal anmode udbetaleren om feriegodtgørelsen via portalen."
2284,38185,,1,2014-12-04 10:00:00,17,12992,3,L 15,Forslag til lov om ændring af lov om vikarers retsstilling ved udsendelse af et vikarbureau m.v. og lov om Arbejdsretten og faglige voldgiftsretter. (Overførsel af kompetencer til Arbejdsretten).,Om overførsel af kompetencer til Arbejdsretten. ,"Lovforslaget har til formål at give Arbejdsretten kompetence til at behandle visse typer af sager om overholdelse af vikarloven. Ifølge lovforslaget vil Arbejdsretten fremover kunne behandle sager om, hvorvidt en virksomhed har overtrådt vikarlovens ligebehandlingsprincip. Det indebærer, at en vikar ikke må behandles ringere end virksomhedens fastansatte. Da Arbejdsretten kun er kompetent i tvister, hvor parterne er medlem af en faglig organisation, er det en forudsætning, at vikaren er medlem af en sådan. Hvis vikaren ikke er medlem af en faglig organisation, skal sagen behandles af de almindelige domstole.

Ifølge lovforslaget vil Arbejdsretten desuden være enekompetent til at vurdere, om et vikarbureau kan fravige princippet om, at en vikar skal behandles på samme måde som virksomhedens fastansatte. Dette kan ske, hvis vikarbureauet har tiltrådt en kollektiv overenskomst, som er indgået af de mest repræsentative arbejdsmarkedsparter i Danmark, og som gælder på hele det danske område, hvorved den generelle beskyttelse af vikarer respekteres. Det følger af lovforslaget, at Arbejdsretten kan pålægge et vikarbureau at efterbetale vikaren, hvis vikarens rettigheder er krænket. Derudover vil Arbejdsretten også kunne tilkende vikaren en godtgørelse."
2285,38380,,1,2014-12-04 10:00:00,17,13007,3,L 17,Forslag til lov om ophævelse af lov om næringsbrev til visse fødevarevirksomheder og om ændring af lov om restaurationsvirksomhed og alkoholbevilling m.v. (Afskaffelse af næringsbrevsordningen).,Om afskaffelse af næringsbrevsordningen.,"Lovforslaget afskaffer næringsbrevsordningen og medfører således, at der fremover ikke kræves næringsbrev for at drive fødevarevirksomhed. Som konsekvens heraf stilles der heller ikke længere krav om beståelse af en prøve og dermed heller ikke om betaling af et prøvegebyr, for at en virksomhed kan drive fødevarevirksomhed. Virksomhederne vil heller ikke længere skulle betale et årligt gebyr for at drive fødevarevirksomhed i henhold til loven. Formålet med lovforslaget er at lette virksomhedernes administrative og økonomiske byrder. 

Det fremgår af lovforslagets bemærkninger, at myndighederne primært benytter kontrol- og sanktionsmuligheder i egen lovgivning, hvorfor det vurderes, at en afskaffelse af næringsbrevsordningen ikke vil svække myndighedernes mulighed for at gribe ind over for fødevarevirksomheder, og at en afskaffelse af ordningen ikke vil have negative konsekvenser for fødevaresikkerheden. 

Loven træder i kraft den 1. januar 2015.
"
2286,38353,,1,2014-12-04 10:00:00,17,13005,3,L 18,"Forslag til lov om ændring af konkurrenceloven. (Forlængelse af tidsfrist for behandling af fusioner, nedsættelse af en bestyrelse for Konkurrence- og Forbrugerstyrelsen på konkurrenceområdet, offentliggørelse af domme om fængselsstraf m.v.).",Om ændring af konkurrenceloven m.v.,"Lovforslaget indebærer en omlægning af det nuværende konkurrenceråd til en ny, uafhængig bestyrelse og oprettelse af et rådgivende udvalg. Derudover formaliseres gældende praksis i forhold til Konkurrence- og Forbrugerstyrelsens udarbejdelse af konkurrenceanalyser, der med loven underlægges Konkurrencerådets ansvar.

Lovforslaget indeholder desuden en forlængelse af tidsfristen for behandling af fusioner i fase I, hjemmel til, at Konkurrence- og Forbrugerstyrelsen kan offentliggøre domme, hvor der idømmes fængselsstraf for overtrædelse af konkurrencelovgivningen, og øgede muligheder for at udveksle fortrolige oplysninger med konkurrencemyndighederne på Færøerne og Grønland.

Forslaget udmønter en politisk aftale fra juni 2014 mellem regeringen (Socialdemokratiet og Radikale Venstre), Venstre, Dansk Folkeparti, Socialistisk Folkeparti og Det Konservative Folkeparti om en vækstpakke."
2287,54290,,1,2014-12-04 10:00:00,17,20246,3,L 46,Forslag til lov om Danmarks Grønne Investeringsfond.,Om Danmarks Grønne Investeringsfond.,"Formålet med lovforslaget er at etablere Danmarks Grønne Investeringsfond, som skal yde lån til investeringer, der fremmer den grønne omstilling i samfundet. Fondens målgruppe er offentlige og private virksomheder, fonde, foreninger, almene boligorganisationer m.v., og fonden kan bl.a. yde lån til investeringer i energibesparelser, vedvarende energi-anlæg og større energimæssig ressourceudnyttelse. 

Fonden etableres med en egenkapital på op til 200 mio. kr. og en statsgaranteret låneramme på op til 5 mia. kr. Fonden skal yde lån til projekter, som ikke ville være blevet igangsat uden finansieringen, eller som bliver fremrykket væsentligt som følge af finansieringen. 

Forslaget udmønter en politisk aftale fra juni 2014 mellem regeringen (Socialdemokratiet og Radikale Venstre), Socialistisk Folkeparti og Enhedslisten om et grønnere Danmark. 

Loven træder i kraft den 15. december 2014."
