afstemningid,sagstrinid,afstemningstypeid,dato,sagstrintypeid,sagid,sagstypeid,sag_nummer,sag_titel,sag_titelkort,sag_titel_en
2,4849,1,2014-09-09 09:15:00,17,1449,3,L 200,Forslag til lov om ændring af virksomhedsskatteloven og kildeskatteloven. (Indgreb mod utilsigtet udnyttelse af virksomhedsordningen ved indskud af privat gæld m.v.).,Om indgreb mod utilsigtet udnyttelse af virksomhedsordningen ved indskud af privat gæld m.v.,"Proposal for a law amending the Corporate Tax Act and the Law on withholding tax. (Action against unintended exploitation of the corporate scheme by private debt deposits, etc.)."
1783,37246,1,2014-10-31 10:00:00,17,12715,3,L 4,"Forslag til lov om ændring af lov om afgift af elektricitet, lov om afgift af stenkul, brunkul og koks m.v., personskatteloven og forskellige andre love. (Tilbagerulning af forsyningssikkerhedsafgiften, nedsættelse af elvarmeafgiften, forhøjelse af elafgiften, tilpasning af afgiftsregler for VE-brændsler, forhøjelse af bundskatten og det skrå skatteloft, nedsættelse af den grønne check og afgiftsforhøjelse på cigarillos m.v.).",Om tilbagerulning af forsyningssikkerhedsafgiften m.v.,"Proposal for a law amending the Law on the tax of electricity, the Law on the tax of coal, lignite and coke, the Act on the tax of persons and various other laws (Rewinding of the security of supply tax, reduction of the electricity tax, increase of the electricity tax, adjustment of the tax rules on renewable fuels, increase of the base tax and the slanted tax ceiling, reduction of the green cheque and increase of the tax on cigarillos, etc.)."
2267,38484,1,2014-12-02 13:00:00,17,13015,3,L 33,Forslag til lov om ændring af lov om produktionsskoler. (Ophævelse af revisionsbestemmelse m.v.).,Om kompetencebevis.,Proposal for a law amending the Law on Production Schools.
2268,38341,1,2014-12-02 13:00:00,17,13004,3,L 19,Forslag til lov om dansk turisme.,Om dansk turisme.,Draft law on Danish tourism.
2282,38172,1,2014-12-04 10:00:00,17,12991,3,L 13,Forslag til lov om ændring af lov om aktiv socialpolitik. (Ændring af formue- og fradragsregler ved efterbetaling af offentlige forsørgelsesydelser og øvrige offentlige sociale ydelser m.v.).,Om ændring af formue- og fradragsregler ved efterbetaling af offentlige forsørgelsesydelser.,"Proposal for a law amending the Act on Active Social Policy (change of property and deduction rules for post-payment of public and other public social benefits, etc.)."
2283,38211,1,2014-12-04 10:00:00,17,12994,3,L 14,Forslag til lov om ændring af lov om ferie. (Færre betingelser for optjening af sygeferiegodtgørelse og fællesopkrævning fra arbejdsgivere for betalingen til Feriepengeinfo m.v.).,Om færre betingelser for optjening af sygeferiegodtgørelse m.v.,"Proposal for a law amending the law on holidays. (Further conditions for earning sick leave and joint collection from employers for payment to Holiday Money Info, etc.)."
2284,38185,1,2014-12-04 10:00:00,17,12992,3,L 15,Forslag til lov om ændring af lov om vikarers retsstilling ved udsendelse af et vikarbureau m.v. og lov om Arbejdsretten og faglige voldgiftsretter. (Overførsel af kompetencer til Arbejdsretten).,Om overførsel af kompetencer til Arbejdsretten. ,"Proposal for a law amending the law on the status of temporary workers in the event of the posting of a temporary employment agency, etc. and the Law on Labour Law and Trade Arbitration Courts. (Transfer of competences to Labour Law)."
2285,38380,1,2014-12-04 10:00:00,17,13007,3,L 17,Forslag til lov om ophævelse af lov om næringsbrev til visse fødevarevirksomheder og om ændring af lov om restaurationsvirksomhed og alkoholbevilling m.v. (Afskaffelse af næringsbrevsordningen).,Om afskaffelse af næringsbrevsordningen.,"Proposal for a law repealing the law on nutrition to certain food businesses and amending the law on catering and alcoholic beverages, etc. (Department of the Newsletter system)."
2286,38353,1,2014-12-04 10:00:00,17,13005,3,L 18,"Forslag til lov om ændring af konkurrenceloven. (Forlængelse af tidsfrist for behandling af fusioner, nedsættelse af en bestyrelse for Konkurrence- og Forbrugerstyrelsen på konkurrenceområdet, offentliggørelse af domme om fængselsstraf m.v.).",Om ændring af konkurrenceloven m.v.,"Proposal for a law amending the Competition Act. (Extension of time limit for dealing with mergers, setting up a Board of Competition and Consumer Protection in the field of competition, publication of sentences on prison sentences, etc.)."
2287,54290,1,2014-12-04 10:00:00,17,20246,3,L 46,Forslag til lov om Danmarks Grønne Investeringsfond.,Om Danmarks Grønne Investeringsfond.,Draft law on the Danish Green Investment Fund.
2288,38393,1,2014-12-04 10:00:00,17,13008,3,L 16,Forslag til lov om medarbejderinvesteringsselskaber.,Om indførelse af medarbejderinvesteringsselskab.,Draft law on employee investment companies.
2289,38103,1,2014-12-04 10:00:00,17,12985,3,L 10,"Forslag til lov om ændring af aktieavancebeskatningsloven, ligningsloven, selskabsskatteloven og forskellige andre love. (Skattemæssige ændringer i lyset af lov om medarbejderinvesteringsselskaber).",Om skattemæssige ændringer i lyset af lov om medarbejderinvesteringsselskaber.,"Draft law amending the Share Advance Tax Act, the Equalisation Act, the Corporate Tax Act and various other laws. (Tax changes in the light of the Labour Investment Companies Act)."
2291,54238,1,2014-12-04 10:00:00,17,20242,3,L 41,"Forslag til lov om ændring af ligningsloven, fondsbeskatningsloven, lov om inddrivelse af gæld til det offentlige, lov om et indkomstregister og forskellige andre love. (Udvidelse af kredsen af yderkommuner med forhøjet befordringsfradrag, forhøjelse af kommunernes andel af selskabsskatten og udvidet mulighed for videregivelse af oplysninger til finansielle virksomheder).",Om udvidelse af kredsen af yderkommuner med forhøjet befordringsfradrag m.v.,"Draft law amending the law on equations, the fund tax law, the law on the recovery of debts to the public, the law on an income register and various other laws."
2292,38023,1,2014-12-09 13:00:00,17,12979,3,L 5,Forslag til lov om indgåelse af protokol om ændring af dobbeltbeskatningsoverenskomsten mellem Danmark og Irland.,Om dobbeltbeskatningsoverenskomsten mellem Danmark og Irland.,Proposal for a law on the conclusion of the Protocol amending the double taxation agreement between Denmark and Ireland.
2293,38075,1,2014-12-09 13:00:00,17,12983,3,L 7,Forslag til lov om indgåelse af protokol om ændring af dobbeltbeskatningsoverenskomsten mellem Danmark og Indien.,Om dobbeltbeskatningsoverenskomsten mellem Danmark og Indien.,Proposal for a law on the conclusion of the Protocol amending the double taxation agreement between Denmark and India.
2294,38089,1,2014-12-09 13:00:00,17,12984,3,L 9,"Forslag til lov om ændring af momsloven, skattekontrolloven og ligningsloven. (Udvidelse af indberetningspligterne vedrørende finansielle produkter, ændring af indberetningspligten vedrørende modtagere af renter og afgivelse af regnskabsoplysninger om moms i forbindelse med selvangivelsen m.v.).",Om udvidelse af indberetningspligterne vedrørende finansielle produkter m.v.,"Proposal for a law amending the VAT law, the tax control law and the law on equations. (Enlargement of reporting obligations on financial products, amendment of reporting obligations on recipients of interest and provision of accounting information on VAT in connection with the tax return, etc.)."
2295,38263,1,2014-12-09 13:00:00,17,12998,3,L 36,Forslag til lov om Hav- og Fiskerifonden.,Om Hav- og Fiskerifonden.,Proposal for a Law on the Maritime and Fisheries Fund.
2296,38276,1,2014-12-09 13:00:00,17,12999,3,L 38,Forslag til lov om Landdistriktsfonden.,Om Landdistriktsfonden.,Draft law on the Rural Fund.
2306,38049,1,2014-12-11 10:00:00,17,12981,3,L 12,Forslag til lov om ændring af lov om frikommuner m.v. (Forlængelse af perioden for frikommuneforsøg).,Om forlængelse af perioden for frikommuneforsøg.,"Draft law amending the law on free municipalities, etc."
2307,38250,1,2014-12-11 10:00:00,17,12997,3,L 37,"Forslag til lov om ændring af lov om landbrugsejendomme. (Udvidet adgang for selskaber m.v. til at erhverve landbrugsejendomme, ophævelse af reglerne om fortrinsstilling til suppleringsjord m.v.).","Om udvidet adgang til at erhverve landbrugsejendomme, ophævelse af reglerne om fortrinsstilling til suppleringsjord m.v.","Proposal for a law amending the Law on agricultural property. (Enlarged access for companies, etc. to acquire agricultural property, repealing the rules on preference for supplementary land, etc.)."
2308,57573,1,2014-12-11 10:00:00,17,21430,3,L 65,Forslag til lov om ændring af lov om åben uddannelse (erhvervsrettet voksenuddannelse) m.v. og lov om erhvervsrettet grunduddannelse og videregående uddannelse (videreuddannelsessystemet) for voksne. (Understøttelse af de videregående uddannelsesinstitutioners muligheder for mere og bedre videregående voksen- og efteruddannelse m.v.).,Om de videregående uddannelsesinstitutioners mulighed for mere og bedre videregående voksen- og efteruddannelse. ,"Proposal for a law amending the law on open education (vocational adult education) etc. and the law on basic and higher education (continuing education) for adults. (Supporting the opportunities of higher education institutions for more and better further adult and further education, etc.)."
2309,57547,1,2014-12-11 10:00:00,17,21428,3,L 66,"Forslag til lov om ændring af universitetsloven og forskellige andre love. (Gennemsigtighed i valg af uddannelse, forsikring af gæsteforskere, krav til oversættelse af eksamensbeviser og midlertidig overgangsordning om supplering mellem bacheloruddannelse og kandidatuddannelse).","Om gennemsigtighed i valg af uddannelse, forsikring af gæsteforskere og oversættelse af eksamensbeviser m.v.   ","Proposal for a law amending the University Law and various other laws. (Privacy in the choice of education, insurance of visiting researchers, requirements for the translation of diplomas and temporary transitional arrangements for supplementing bachelor's degree and Master's degree)."
2310,38406,1,2014-12-11 10:00:00,17,13009,3,L 24,Forslag til lov om videregående kunstneriske uddannelsesinstitutioner under Kulturministeriet.,Om videregående kunstneriske uddannelsesinstitutioner under Kulturministeriet.,Draft law on higher artistic education institutions under the Ministry of Culture.
2312,53160,1,2014-12-11 10:00:00,17,19585,3,L 39,Forslag til lov om ændring af lov om byfornyelse og udvikling af byer. (Øgede muligheder for at sikre gode boligsociale rammer både på land og i by m.v.).,Om øgede muligheder for at sikre gode boligsociale rammer både på land og i by m.v. ,Proposal for a law amending the law on urban renewal and development of cities. (Increased opportunities to ensure a good housing social framework both on land and in city etc.).
2313,54277,1,2014-12-11 10:00:00,17,20245,3,L 47,Forslag til lov om ændring af lov om andelsboligforeninger og andre boligfællesskaber og lejeloven. (Skærpede krav til stiftelse af andelsboligforeninger m.v.).,Om skærpede krav til stiftelse af andelsboligforeninger m.v.,Draft law amending the law on cooperative housing associations and other housing communities and the law on rentals.
2314,38159,1,2014-12-11 10:00:00,17,12990,3,L 31,Forslag til lov om ændring af lov om jagt og vildtforvaltning. (Styrkelse af vildtudbytteindberetning m.v.).,Om styrkelse af vildtudbytteindberetning m.v.,"Draft law amending the law on hunting and game management. (Strengthening of game yield reporting, etc.)."
2398,54093,1,2014-12-18 10:00:00,17,12710,3,L 1,Forslag til finanslov for finansåret 2015.,Om finanslov for finansåret 2015.,Draft Finance Act for the financial year 2015.
2399,37220,1,2014-12-18 10:00:00,17,12713,3,L 2,"Forslag til lov om fastsættelse af udgiftslofter for stat, kommuner og regioner for finansåret 2018.","Om udgiftslofter for stat, kommuner og regioner for finansåret 2018.","Draft law on the establishment of expenditure ceilings for state, municipalities and regions for the financial year 2018."
2400,37233,1,2014-12-18 10:00:00,17,12714,3,L 3,"Forslag til lov om ændring af lov om fastsættelse af udgiftslofter for stat, kommuner og regioner for finansårene 2014-2017. (Konsekvenser af aftaler om vækstpakke 2014 m.v.).","Om udgiftslofter for stat, kommuner og regioner for finansårene 2014-2017. ","Proposal for a law amending the Law on the establishment of expenditure ceilings for state, municipalities and regions for the financial years 2014-2017. (Consequences of agreements on growth package 2014 etc.)."
2401,59307,1,2014-12-18 10:00:00,17,21903,3,L 58 A,"Forslag til lov om ændring af lov om en aktiv beskæftigelsesindsats, lov om arbejdsløshedsforsikring m.v. og forskellige andre love. (Reform af beskæftigelsesindsatsen, et fælles og intensiveret kontaktforløb, uddannelsesløft, styrket rådighed og målretning af virksomhedsrettede tilbud m.v.).","Om reform af beskæftigelsesindsatsen, et fælles og intensiveret kontaktforløb, uddannelsesløft m.v.  ","Proposal for a law amending the Act on Active Employment, the Law on Unemployment Insurance, etc., and various other laws (Reform of employment efforts, a joint and intensified contact process, training boosts, increased availability and targeting of business-oriented offers, etc.)."
2402,59310,1,2014-12-18 10:00:00,17,21904,3,L 58 B,"Forslag til lov om ændring af lov om en aktiv beskæftigelsesindsats og lov om aktiv socialpolitik. (Joblog, sanktion ved udeblivelse fra tilbud samt 6 ugers jobrettet uddannelse for modtagere af ledighedsydelse).","Om Joblog, sanktion ved udeblivelse fra tilbud samt 6 ugers jobrettet uddannelse for modtagere af ledighedsydelse.  ",Proposal for a law amending the Act on Active Employment and the Act on Active Social Policy.
2403,57599,1,2014-12-18 10:00:00,17,21432,3,L 59,Forslag til lov om organisering og understøttelse af beskæftigelsesindsatsen m.v.,Om organisering og understøttelse af beskæftigelsesindsatsen m.v.,"Draft law on the organisation and support of employment, etc."
2404,57664,1,2014-12-18 10:00:00,17,21437,3,L 60,Forslag til lov om ændring af lov om forbud mod forskelsbehandling på arbejdsmarkedet m.v. (Ophævelse af 70-årsgrænse m.v.).,Om ophævelse af 70-årsgrænse m.v.,"Proposal for a law amending the law prohibiting discrimination on the labour market, etc. (Completion of the 70-year limit, etc.)."
2405,57651,1,2014-12-18 10:00:00,17,21436,3,L 61,"Forslag til lov om ændring af udlændingeloven, integrationsloven og lov om Det Centrale Personregister. (Reform af international rekruttering m.v.).",Om reform af international rekruttering m.v.,"Draft law amending the Aliens Act, the Integration Act and the Central Personal Register Act. (Reform of international recruitment, etc.)."
2406,38315,1,2014-12-18 10:00:00,17,13002,3,L 11,Forslag til lov om ændring af lov om CO2-kvoter og lov om kuldioxidafgift af visse energiprodukter. (Tilpasning af reglerne om udledninger fra luftfart efter Europa-Parlamentets og Rådets forordning (EU) nr. 421/2014 af 16. april 2014 m.v.).,Om tilpasning af reglerne om udledninger fra luftfart efter Europa-Parlamentets og Rådets forordning (EU) nr. 421/2014 af 16. april 2014 m.v.,Proposal for a law amending the law on CO2 allowances and the law on carbon dioxide tax for certain energy products. (Adjusting the rules on aviation emissions pursuant to Regulation (EU) No 421/2014 of the European Parliament and of the Council of 16 April 2014 etc.).
