id,typeid,afstemningid,aktørid
180,1,2,158
181,1,2,126
182,2,2,71
183,1,2,50
184,1,2,49
185,1,2,220
186,1,2,183
187,1,2,85
188,1,2,303
189,1,2,94
190,1,2,98
191,1,2,259
192,1,2,171
193,1,2,205
194,1,2,184
195,1,2,121
196,1,2,216
197,2,2,108
198,1,2,93
199,1,2,120
200,1,2,34
201,1,2,288
202,1,2,246
203,1,2,199
204,1,2,173
205,1,2,260
206,1,2,201
207,1,2,365
208,1,2,210
209,1,2,38
210,1,2,352
211,1,2,64
212,1,2,28
213,1,2,24
214,1,2,257
215,2,2,96
216,1,2,217
217,1,2,384
218,1,2,130
219,1,2,224
220,1,2,133
221,1,2,80
222,1,2,97
223,1,2,264
224,1,2,81
225,2,2,148
226,1,2,147
227,1,2,226
228,1,2,212
229,1,2,5
230,1,2,129
231,1,2,125
232,1,2,182
233,1,2,145
234,1,2,364
235,2,2,83
236,1,2,279
237,1,2,223
238,1,2,72
239,1,2,109
240,1,2,231
241,1,2,185
242,1,2,162
243,1,2,18
244,1,2,161
245,2,2,135
246,1,2,118
247,1,2,122
248,1,2,23
249,1,2,113
250,1,2,139
251,1,2,263
252,1,2,119
253,2,2,190
254,1,2,278
255,1,2,200
256,2,2,189
257,1,2,127
258,1,2,209
259,1,2,213
260,1,2,160
261,1,2,39
262,1,2,102
263,1,2,101
264,1,2,79
265,1,2,266
266,1,2,261
267,1,2,181
268,1,2,156
269,1,2,86
270,1,2,168
271,1,2,75
272,2,2,99
273,2,2,111
274,1,2,219
275,1,2,84
276,1,2,112
277,1,2,172
278,1,2,191
279,1,2,87
280,1,2,62
281,1,2,68
282,1,2,192
283,1,2,304
284,1,2,281
285,1,2,214
286,1,2,305
287,1,2,268
288,3,2,270
289,3,2,33
290,3,2,252
291,3,2,265
292,3,2,206
293,3,2,193
294,3,2,153
295,3,2,92
296,3,2,55
297,3,2,131
298,3,2,106
299,3,2,245
300,3,2,149
301,3,2,12
302,3,2,77
303,3,2,271
304,3,2,164
305,3,2,138
306,3,2,280
307,3,2,48
308,3,2,17
309,3,2,95
310,3,2,132
311,3,2,82
312,3,2,116
313,3,2,215
314,3,2,124
315,3,2,194
316,3,2,154
317,3,2,56
318,3,2,197
319,3,2,144
320,3,2,47
321,3,2,195
322,3,2,244
323,3,2,178
324,3,2,117
325,3,2,249
326,3,2,70
327,3,2,163
328,3,2,225
329,3,2,43
330,3,2,179
331,3,2,152
332,3,2,247
333,3,2,272
334,3,2,67
335,3,2,221
336,3,2,180
337,3,2,187
338,3,2,262
339,3,2,155
340,3,2,297
341,3,2,294
342,3,2,159
343,3,2,44
344,3,2,110
345,3,2,69
346,3,2,73
347,3,2,59
348,3,2,123
349,3,2,207
350,3,2,78
351,3,2,286
352,3,2,208
353,3,2,74
354,3,2,100
355,3,2,88
356,3,2,13
357,3,2,103
358,3,2,57
360317,1,1783,221
360318,1,1783,1619
360319,1,1783,152
360320,2,1783,71
360321,1,1783,49
360322,1,1783,183
360323,1,1783,198
360324,1,1783,85
360325,1,1783,124
360326,1,1783,171
360327,1,1783,184
360328,1,1783,121
360329,1,1783,216
360330,2,1783,108
360331,1,1783,93
360332,1,1783,120
360333,1,1783,95
360334,1,1783,197
360335,1,1783,92
360336,1,1783,288
360337,1,1783,244
360338,1,1783,67
360339,1,1783,199
360340,1,1783,173
360341,1,1783,260
360342,1,1783,178
360343,1,1783,365
360344,1,1783,210
360345,1,1783,280
360346,1,1783,64
360347,1,1783,28
360348,1,1783,24
360349,1,1783,257
360350,2,1783,96
360351,1,1783,384
360352,1,1783,130
360353,1,1783,224
360354,1,1783,193
360355,1,1783,56
360356,1,1783,80
360357,1,1783,97
360358,1,1783,81
360359,1,1783,147
360360,1,1783,82
360361,1,1783,187
360362,1,1783,226
360363,1,1783,179
360364,1,1783,5
360365,1,1783,206
360366,1,1783,129
360367,2,1783,153
360368,1,1783,182
360369,1,1783,364
360370,2,1783,83
360371,1,1783,132
360372,1,1783,223
360373,1,1783,109
360374,1,1783,231
360375,1,1783,11583
360376,1,1783,185
360377,1,1783,18
360378,1,1783,161
360379,2,1783,135
360380,1,1783,118
360381,1,1783,122
360382,1,1783,113
360383,1,1783,159
360384,2,1783,225
360385,1,1783,207
360386,1,1783,119
360387,1,1783,286
360388,1,1783,209
360389,1,1783,213
360390,1,1783,160
360391,1,1783,101
360392,1,1783,208
360393,1,1783,78
360394,1,1783,79
360395,1,1783,261
360396,1,1783,156
360397,1,1783,86
360398,1,1783,168
360399,2,1783,245
360400,2,1783,99
360401,1,1783,219
360402,1,1783,84
360403,2,1783,73
360404,1,1783,112
360405,1,1783,172
360406,1,1783,69
360407,1,1783,191
360408,1,1783,87
360409,1,1783,192
360410,1,1783,304
360411,1,1783,281
360412,1,1783,343
360413,1,1783,57
360414,1,1783,214
360415,1,1783,305
360416,1,1783,268
360417,2,1783,1334
360418,1,1783,13727
360419,3,1783,270
360420,3,1783,220
360421,3,1783,33
360422,3,1783,252
360423,3,1783,265
360424,3,1783,125
360425,3,1783,55
360426,3,1783,131
360427,3,1783,126
360428,3,1783,106
360429,3,1783,149
360430,3,1783,12
360431,3,1783,212
360432,3,1783,77
360433,3,1783,217
360434,3,1783,94
360435,3,1783,145
360436,3,1783,271
360437,3,1783,164
360438,3,1783,138
360439,3,1783,48
360440,3,1783,279
360441,3,1783,303
360442,3,1783,352
360443,3,1783,148
360444,3,1783,17
360445,3,1783,116
360446,3,1783,215
360447,3,1783,194
360448,3,1783,154
360449,3,1783,259
360450,3,1783,144
360451,3,1783,264
360452,3,1783,195
360453,3,1783,117
360454,3,1783,249
360455,3,1783,70
360456,3,1783,163
360457,3,1783,133
360458,3,1783,158
360459,3,1783,38
360460,3,1783,43
360461,3,1783,205
360462,3,1783,201
360463,3,1783,246
360464,3,1783,247
360465,3,1783,272
360466,3,1783,72
360467,3,1783,180
360468,3,1783,50
360469,3,1783,98
360470,3,1783,262
360471,3,1783,155
360472,3,1783,297
360473,3,1783,294
360474,3,1783,23
360475,3,1783,39
