afstemningid,sagstrinid,kommentar,afstemningstypeid,dato,sagstrintypeid,sagid,sagstypeid,sag_nummer,sag_titel,sag_titelkort
2,4849,,1,2014-09-09 09:15:00,17,1449,3,L 200,Forslag til lov om ændring af virksomhedsskatteloven og kildeskatteloven. (Indgreb mod utilsigtet udnyttelse af virksomhedsordningen ved indskud af privat gæld m.v.).,Om indgreb mod utilsigtet udnyttelse af virksomhedsordningen ved indskud af privat gæld m.v.
1783,37246,,1,2014-10-31 10:00:00,17,12715,3,L 4,"Forslag til lov om ændring af lov om afgift af elektricitet, lov om afgift af stenkul, brunkul og koks m.v., personskatteloven og forskellige andre love. (Tilbagerulning af forsyningssikkerhedsafgiften, nedsættelse af elvarmeafgiften, forhøjelse af elafgiften, tilpasning af afgiftsregler for VE-brændsler, forhøjelse af bundskatten og det skrå skatteloft, nedsættelse af den grønne check og afgiftsforhøjelse på cigarillos m.v.).",Om tilbagerulning af forsyningssikkerhedsafgiften m.v.
2267,38484,,1,2014-12-02 13:00:00,17,13015,3,L 33,Forslag til lov om ændring af lov om produktionsskoler. (Ophævelse af revisionsbestemmelse m.v.).,Om kompetencebevis.
2268,38341,,1,2014-12-02 13:00:00,17,13004,3,L 19,Forslag til lov om dansk turisme.,Om dansk turisme.
2282,38172,,1,2014-12-04 10:00:00,17,12991,3,L 13,Forslag til lov om ændring af lov om aktiv socialpolitik. (Ændring af formue- og fradragsregler ved efterbetaling af offentlige forsørgelsesydelser og øvrige offentlige sociale ydelser m.v.).,Om ændring af formue- og fradragsregler ved efterbetaling af offentlige forsørgelsesydelser.
2283,38211,,1,2014-12-04 10:00:00,17,12994,3,L 14,Forslag til lov om ændring af lov om ferie. (Færre betingelser for optjening af sygeferiegodtgørelse og fællesopkrævning fra arbejdsgivere for betalingen til Feriepengeinfo m.v.).,Om færre betingelser for optjening af sygeferiegodtgørelse m.v.
2284,38185,,1,2014-12-04 10:00:00,17,12992,3,L 15,Forslag til lov om ændring af lov om vikarers retsstilling ved udsendelse af et vikarbureau m.v. og lov om Arbejdsretten og faglige voldgiftsretter. (Overførsel af kompetencer til Arbejdsretten).,Om overførsel af kompetencer til Arbejdsretten. 
2285,38380,,1,2014-12-04 10:00:00,17,13007,3,L 17,Forslag til lov om ophævelse af lov om næringsbrev til visse fødevarevirksomheder og om ændring af lov om restaurationsvirksomhed og alkoholbevilling m.v. (Afskaffelse af næringsbrevsordningen).,Om afskaffelse af næringsbrevsordningen.
2286,38353,,1,2014-12-04 10:00:00,17,13005,3,L 18,"Forslag til lov om ændring af konkurrenceloven. (Forlængelse af tidsfrist for behandling af fusioner, nedsættelse af en bestyrelse for Konkurrence- og Forbrugerstyrelsen på konkurrenceområdet, offentliggørelse af domme om fængselsstraf m.v.).",Om ændring af konkurrenceloven m.v.
2287,54290,,1,2014-12-04 10:00:00,17,20246,3,L 46,Forslag til lov om Danmarks Grønne Investeringsfond.,Om Danmarks Grønne Investeringsfond.
2288,38393,,1,2014-12-04 10:00:00,17,13008,3,L 16,Forslag til lov om medarbejderinvesteringsselskaber.,Om indførelse af medarbejderinvesteringsselskab.
2289,38103,,1,2014-12-04 10:00:00,17,12985,3,L 10,"Forslag til lov om ændring af aktieavancebeskatningsloven, ligningsloven, selskabsskatteloven og forskellige andre love. (Skattemæssige ændringer i lyset af lov om medarbejderinvesteringsselskaber).",Om skattemæssige ændringer i lyset af lov om medarbejderinvesteringsselskaber.
2291,54238,,1,2014-12-04 10:00:00,17,20242,3,L 41,"Forslag til lov om ændring af ligningsloven, fondsbeskatningsloven, lov om inddrivelse af gæld til det offentlige, lov om et indkomstregister og forskellige andre love. (Udvidelse af kredsen af yderkommuner med forhøjet befordringsfradrag, forhøjelse af kommunernes andel af selskabsskatten og udvidet mulighed for videregivelse af oplysninger til finansielle virksomheder).",Om udvidelse af kredsen af yderkommuner med forhøjet befordringsfradrag m.v.
2292,38023,,1,2014-12-09 13:00:00,17,12979,3,L 5,Forslag til lov om indgåelse af protokol om ændring af dobbeltbeskatningsoverenskomsten mellem Danmark og Irland.,Om dobbeltbeskatningsoverenskomsten mellem Danmark og Irland.
2293,38075,,1,2014-12-09 13:00:00,17,12983,3,L 7,Forslag til lov om indgåelse af protokol om ændring af dobbeltbeskatningsoverenskomsten mellem Danmark og Indien.,Om dobbeltbeskatningsoverenskomsten mellem Danmark og Indien.
2294,38089,,1,2014-12-09 13:00:00,17,12984,3,L 9,"Forslag til lov om ændring af momsloven, skattekontrolloven og ligningsloven. (Udvidelse af indberetningspligterne vedrørende finansielle produkter, ændring af indberetningspligten vedrørende modtagere af renter og afgivelse af regnskabsoplysninger om moms i forbindelse med selvangivelsen m.v.).",Om udvidelse af indberetningspligterne vedrørende finansielle produkter m.v.
2295,38263,,1,2014-12-09 13:00:00,17,12998,3,L 36,Forslag til lov om Hav- og Fiskerifonden.,Om Hav- og Fiskerifonden.
2296,38276,,1,2014-12-09 13:00:00,17,12999,3,L 38,Forslag til lov om Landdistriktsfonden.,Om Landdistriktsfonden.
2306,38049,,1,2014-12-11 10:00:00,17,12981,3,L 12,Forslag til lov om ændring af lov om frikommuner m.v. (Forlængelse af perioden for frikommuneforsøg).,Om forlængelse af perioden for frikommuneforsøg.
2307,38250,,1,2014-12-11 10:00:00,17,12997,3,L 37,"Forslag til lov om ændring af lov om landbrugsejendomme. (Udvidet adgang for selskaber m.v. til at erhverve landbrugsejendomme, ophævelse af reglerne om fortrinsstilling til suppleringsjord m.v.).","Om udvidet adgang til at erhverve landbrugsejendomme, ophævelse af reglerne om fortrinsstilling til suppleringsjord m.v."
2308,57573,,1,2014-12-11 10:00:00,17,21430,3,L 65,Forslag til lov om ændring af lov om åben uddannelse (erhvervsrettet voksenuddannelse) m.v. og lov om erhvervsrettet grunduddannelse og videregående uddannelse (videreuddannelsessystemet) for voksne. (Understøttelse af de videregående uddannelsesinstitutioners muligheder for mere og bedre videregående voksen- og efteruddannelse m.v.).,Om de videregående uddannelsesinstitutioners mulighed for mere og bedre videregående voksen- og efteruddannelse. 
2309,57547,,1,2014-12-11 10:00:00,17,21428,3,L 66,"Forslag til lov om ændring af universitetsloven og forskellige andre love. (Gennemsigtighed i valg af uddannelse, forsikring af gæsteforskere, krav til oversættelse af eksamensbeviser og midlertidig overgangsordning om supplering mellem bacheloruddannelse og kandidatuddannelse).","Om gennemsigtighed i valg af uddannelse, forsikring af gæsteforskere og oversættelse af eksamensbeviser m.v.   "
2310,38406,,1,2014-12-11 10:00:00,17,13009,3,L 24,Forslag til lov om videregående kunstneriske uddannelsesinstitutioner under Kulturministeriet.,Om videregående kunstneriske uddannelsesinstitutioner under Kulturministeriet.
2312,53160,,1,2014-12-11 10:00:00,17,19585,3,L 39,Forslag til lov om ændring af lov om byfornyelse og udvikling af byer. (Øgede muligheder for at sikre gode boligsociale rammer både på land og i by m.v.).,Om øgede muligheder for at sikre gode boligsociale rammer både på land og i by m.v. 
2313,54277,,1,2014-12-11 10:00:00,17,20245,3,L 47,Forslag til lov om ændring af lov om andelsboligforeninger og andre boligfællesskaber og lejeloven. (Skærpede krav til stiftelse af andelsboligforeninger m.v.).,Om skærpede krav til stiftelse af andelsboligforeninger m.v.
2314,38159,,1,2014-12-11 10:00:00,17,12990,3,L 31,Forslag til lov om ændring af lov om jagt og vildtforvaltning. (Styrkelse af vildtudbytteindberetning m.v.).,Om styrkelse af vildtudbytteindberetning m.v.
2398,54093,,1,2014-12-18 10:00:00,17,12710,3,L 1,Forslag til finanslov for finansåret 2015.,Om finanslov for finansåret 2015.
